orig_row,hanzi,pinyin,english,thai_current,freq,level,thai_proposed,note
916,实事求是,shí shì qiú shì,to seek truth from facts,สืบค้นความจริง,3,6,ยึดความจริงตามข้อเท็จจริง,chengyu; rendered by meaning (seek truth from facts)
917,实力,shí lì,strength,กำลัง,3,6,ศักยภาพ; ความสามารถ,current กำลัง is ambiguous (also 'currently'); 实力 = real strength/capability
918,实施,shí shī,to implement; to carry out,ปฏิบัติ,3,5,นำไปปฏิบัติ; ดำเนินการ,current ปฏิบัติ = practise; 实施 = implement/enforce
920,宣布,xuān bù,to declare; to announce,ประกาศ,3,5,ประกาศ,
922,害,hài,to do harm to; to cause trouble to,เสียหาย,3,5,ทำร้าย; ทำให้เดือดร้อน,current เสียหาย = 'damaged' (result); 害 verb = to harm
923,宴会,yàn huì,banquet; feast,งานเลี้ยง,3,5,งานเลี้ยง,
925,家务,jiā wù,household duties; housework,งานบ้าน,3,5,งานบ้าน,
926,家长,jiā zhǎng,head of a household; family head,เจ้าบ้าน,3,5,ผู้ปกครอง; หัวหน้าครอบครัว,current เจ้าบ้าน = host; 家长 = guardian/parent
928,宽阔,kuān kuò,expansive; wide,กว้างมาก,3,6,กว้างขวาง,current กว้างมาก = 'very wide'
931,富含,fù hán,to contain in great quantities; rich in,มีอย่างมากมาย,3,6,อุดมไปด้วย,current มีอย่างมากมาย is generic; 富含 = rich in
935,小伙子,xiǎo huǒ zi,young man; young fellow,หนุ่ม,3,4,หนุ่ม,
938,尝,cháng,to taste; to try,ลิ้มรส,3,4,ชิม; ลิ้มลอง,ชิม is the everyday word for tasting food
939,尴尬,gān gà,awkward; embarrassed,อึดอัด,3,5,กระอักกระอ่วน; เขินอาย,current อึดอัด = physically stifled; 尴尬 = socially awkward
940,尽可能,jǐn kě néng,as far as possible,เต็มที่,3,6,เท่าที่จะทำได้; ให้มากที่สุด,current เต็มที่ = 'fully'
943,屋顶,wū dǐng,roof,หลังคา,3,5,หลังคา,
946,崇尚,chóng shàng,to hold up; to hold in esteem,ยกย่อง,3,6,เชิดชู; นิยม,current ยกย่อง ok; 崇尚 = advocate/esteem a value
949,巧妙,qiǎo miào,ingenious; clever,ฉลาด,3,5,แยบยล; ชาญฉลาด,current ฉลาด = smart (person); 巧妙 = ingenious (method)
958,平稳,píng wěn,smooth; steady,ราบเรียบ,3,6,ราบรื่น; มั่นคง,current ราบเรียบ = flat; 平稳 = smooth and stable
959,年前,nián qián,... years ago,ปีที่แล้ว,3,4,เมื่อ...ปีก่อน,current ปีที่แล้ว = last year (去年); 年前 = X years ago
960,年底,nián dǐ,the end of the year; year-end,ท้ายปี,3,4,ปลายปี; สิ้นปี,current ท้ายปี is unnatural
962,应付,yìng fù,to deal with; to cope,จัดการ,3,5,รับมือ; จัดการ,รับมือ better captures 'cope with'
964,延伸,yán shēn,to extend,ขยายออก,3,6,ทอดยาว; ต่อขยาย,current ขยายออก = expand out; 延伸 = extend/stretch
965,开花,kāi huā,to bloom; to blossom,บานดอก,3,5,ออกดอก; ผลิบาน,current บานดอก is reversed word order
972,弹,dàn,bullet; bomb,กระสุน,3,4,กระสุน; ลูกระเบิด,added the 'bomb' sense
973,强制,qiáng zhì,to force; to compel,บังคับใช้,3,5,บังคับ,current บังคับใช้ = enforce (a law); 强制 = force/compel
975,当初,dāng chū,at that time; originally,ตอนแรก,3,5,แต่แรก; ตอนนั้น,current ตอนแรก = 'at first'; 当初 = back then/originally
980,忽然,hū rán,suddenly; all of a sudden,อย่างกะทันหัน,3,5,อย่างกะทันหัน,
983,总算,zǒng suàn,at long last; finally,ก็สำเร็จแล้วที่สุด,3,5,ในที่สุดก็; ในที่สุด,current ก็สำเร็จแล้วที่สุด was garbled Thai
987,惭愧,cán kuì,ashamed,อาย,3,5,ละอายใจ; รู้สึกผิด,current อาย = shy; 惭愧 = ashamed/guilty
989,感恩,gǎn ēn,to be grateful,ขอบคุณ,3,5,สำนึกในบุญคุณ; ซาบซึ้งใจ,current ขอบคุณ = merely 'thank'; 感恩 = deep gratitude
992,愣,lèng,to look distracted; to stare blankly,งง,3,5,ตะลึง; อึ้ง,current งง = confused; 愣 = stunned/dazed/blank
993,成千上万,chéng qiān shàng wàn,thousands upon thousands; countless,"นับไม่ถ้วน, มากมายนัก",3,4,เป็นพันเป็นหมื่น; นับไม่ถ้วน,เป็นพันเป็นหมื่น mirrors the idiom
995,成果,chéng guǒ,result; achievement,ผลลัพธ์,3,5,ผลสำเร็จ; ผลงาน,current ผลลัพธ์ = neutral 'result'; 成果 = achievement
998,扇,shàn,to fan; to slap someone on the face,พัด,3,6,พัด; ตบ,added the 'slap' sense (扇耳光)
1000,才华,cái huá,talent,พรสวรรค์,3,6,พรสวรรค์; ความสามารถ,
1005,拟,nǐ,to draft; to plan,คร่าวๆ,3,6,ร่าง; วางแผน,
1008,指标,zhǐ biāo,production target; quota,"เป้าหมาย, โควตา",3,6,เป้าหมาย; โควตา,
1012,挑剔,tiāo tī,picky; fussy,เคร่งครัด,3,6,จู้จี้; ชอบจับผิด,
1013,损失,sǔn shī,loss; damage,ขาดทุน,3,5,ความสูญเสีย; ความเสียหาย,
1024,携带,xié dài,to carry; to support,ถือ,3,5,พกพา; นำติดตัว,EN-GLOSS-BUG: 携带 means to carry/bring along; 'to support' is not a real sense.
1029,收集,shōu jí,to gather; to collect,รวบรวม,3,5,รวบรวม,
1034,敏捷,mǐn jié,nimble; quick,ว่องไว,3,6,ว่องไว,
1043,斤,jīn,catty (500 g),ชั่ง (500 กรัม),3,2,ชั่ง (500 กรัม),"斤 (jin) = 500g; Thai ชั่ง is ~600g, so unit is approximate — kept for lack of an exact equivalent."
1044,方,fāng,direction; side; method; (medicinal prescription),"ทิศทาง, วิธี",3,5,ทิศทาง; วิธี,
1048,早已,zǎo yǐ,for a long time; long since,นานมาแล้ว,3,5,นานมาแล้ว,
1056,暗示,àn shì,to hint; to suggest,บ่งชี้,3,6,บอกใบ้; บ่งบอกเป็นนัย,
1061,有利,yǒu lì,advantageous; favorable,มีประโยชน์,3,6,เป็นผลดี; ได้เปรียบ,
1067,束缚,shù fù,to bind; to tie up,จำกัด,3,6,ผูกมัด; พันธนาการ,
1069,杰出,jié chū,outstanding; distinguished,เด่นเทพ,3,6,โดดเด่น; ดีเด่น,
1071,果然,guǒ rán,really; sure enough,แน่นอน,3,4,เป็นอย่างที่คาดไว้จริงๆ,
1077,核心,hé xīn,core; nucleus,ศูนย์กลาง,3,5,แก่น; ศูนย์กลาง,
1080,桶,tǒng,bucket; trash can,ถัง,3,5,ถัง,
1082,楼下,lóu xià,downstairs,ชั้นล่าง,3,3,ชั้นล่าง,
1091,毕竟,bì jìng,after all; all in all,ท้ายที่สุด,3,5,ยังไงเสีย; ก็,Function-word 'after all'; ยังไงเสีย captures it but is register-loose — second opinion welcome.
1093,毛笔,máo bǐ,writing brush,แปรงเขียน,3,5,พู่กันจีน,
1098,沾,zhān,to moisten; to be infected by,"ระเสือ, ติดเชื้อ",3,6,ทำให้เปียก; ติดเชื้อ,Current 'ระเสือ' was garbled/non-Thai; replaced with sense-accurate Thai.
1102,注,zhù,to pour; to focus (attention),เท,3,4,เท; จดจ่อ,
1112,淘气,táo qì,naughty; mischievous,"ซน, ซุกซน",3,5,"ซน, ซุกซน",
1114,深入,shēn rù,to penetrate deeply; thorough,ลึกซึ้ง,3,6,เจาะลึก; ลงลึก,
1119,渴望,kě wàng,to thirst for; to long for,อยากได้,3,5,โหยหา; ปรารถนา,
1120,湖,hú,lake,ทะเลสาบ,3,5,ทะเลสาบ,
1122,演讲,yǎn jiǎng,to give a lecture; to make a speech,บรรยาย,3,5,กล่าวสุนทรพจน์,
1123,潜在,qián zài,hidden; potential,ซ่อนเร้น,3,5,แฝงอยู่; ซ่อนเร้น,
1124,潜能,qián néng,potential; hidden capability,ความสามารถซ่อนเร้น,3,5,ศักยภาพ,
1133,热烈,rè liè,enthusiastic; ardent,กระตือรือร้น,3,5,กระตือรือร้น,
1138,爱人,ài rén,spouse; lover,"คนรัก, สามี",3,4,คู่สมรส; คนรัก,
1154,由此可见,yóu cǐ kě jiàn,"from this, it can be seen that...",เห็นได้จาก,3,6,จากนี้จะเห็นได้ว่า,
1159,画面,huà miàn,scene; tableau,ฉาก,3,4,ภาพ; ฉาก,
1160,画龙点睛,huà lóng diǎn jīng,the crucial finishing touch,วาดมังกรลงตา,3,5,จุดเติมเต็มที่ทำให้สมบูรณ์แบบ,"Idiom rendered by meaning (crucial finishing touch), not literal 'draw dragon, dot the eye'."
1165,盆,pén,basin; flower pot,หม้อดอกไม้,3,5,อ่าง; กระถาง,
1166,盒子,hé zi,box; case,กล่อง,3,4,กล่อง,
1179,眼光,yǎn guāng,gaze; insight,สายตา,3,6,สายตา; วิสัยทัศน์,
1185,石油,shí yóu,oil; petroleum,น้ำมันดิบ,3,6,ปิโตรเลียม; น้ำมัน,
1193,空虚,kōng xū,hollow; emptiness,ว่างเปล่า,3,6,ว่างเปล่า,
1206,组,zǔ,group; to organize,หมู่,3,6,กลุ่ม; จัดกลุ่ม,
1211,结,jié,to tie; to conclude,"ผูก, สิ้นสุด",3,4,ผูก; สิ้นสุด,
1227,背着,bēi zhe,carrying on one's back,หว่างบ่า,3,5,แบกไว้บนหลัง,
1234,至于,zhì yú,as for; as to,เกี่ยวกับ,3,5,ส่วน (เกริ่นเรื่องใหม่),
1241,茶叶,chá yè,tea; tea leaves,ชา,3,4,ใบชา,
1242,营业,yíng yè,to do business; to trade,ประกอบการค้า,3,5,เปิดทำการ,
1243,落,luò,to fall or drop; of the sun to set,สูญหาย,3,4,ตก,
1246,血管,xuè guǎn,vein; artery,เส้นเลือด,3,6,เส้นเลือด,
1247,行人,xíng rén,pedestrian; traveler on foot,คนเดิน,3,5,คนเดินถนน,
1248,行走,xíng zǒu,to walk,เดิน,3,4,เดิน,
1249,补充,bǔ chōng,to replenish; to supplement,เติมเต็ม,3,5,"เพิ่มเติม, เสริม",
1258,讲课,jiǎng kè,to give a lecture; to teach a class,บรรยายชั้น,3,5,สอนหนังสือ,
1260,设备,shè bèi,equipment; facilities,เครื่องมือ,3,5,อุปกรณ์,
1265,诗人,shī rén,bard; poet,กวี,3,5,กวี,
1269,谅解,liàng jiě,to understand; to make allowances for,เข้าใจ,3,6,เข้าอกเข้าใจ,
1272,货币,huò bì,currency; monetary,เงินตรา,3,5,เงินตรา,
1274,费,fèi,fee; to waste,ค่าใช้จ่าย,3,5,ค่าใช้จ่าย; สิ้นเปลือง,
1280,足,zú,foot; enough,มาก,3,5,เท้า; เพียงพอ,
1286,身材,shēn cái,stature; build,สัดส่วนตัว,3,5,รูปร่าง,
1287,躲,duǒ,to hide; to dodge,ซ่อน,3,5,หลบ; ซ่อนตัว,
1296,连忙,lián máng,promptly; at once,เร็วๆนี้,3,5,รีบ,
1297,迷人,mí rén,fascinating; enchanting,เสน่ห์,3,5,น่าหลงใหล,
1304,造型,zào xíng,to model; to shape,รูปแบบ,3,6,"รูปทรง, รูปลักษณ์",
1306,遗址,yí zhǐ,ruins; historic relics,สถานที่โบราณ,3,6,โบราณสถาน,
1307,遗忘,yí wàng,to forget; to cease to think about anymore,ลืมเสียไป,3,5,ลืมเลือน,
1309,那时,nà shí,then; at that time,ตอนนั้น,3,3,ตอนนั้น,
1316,重量级,zhòng liàng jí,sports heavyweight class; major; influential,"รุ่นเฮฟวี่เวท, ระดับหนัก (เปรียบเทียบ)",3,5,รุ่นเฮฟวี่เวท; ระดับบิ๊ก (เชิงเปรียบเทียบ),
1318,销量,xiāo liàng,sales volume,ปริมาณขาย,3,5,ยอดขาย,
1322,阵,zhèn,burst; wave,แถว,3,5,ระลอก,
1330,面部,miàn bù,face,หน้า,3,6,ใบหน้า,
1342,饼,bǐng,flatbread; cake,ขนมปัง,3,6,แป้งแผ่นกลม,饼 = round flat cake/bread; hard to gloss precisely — second opinion
1354,鲜,xiān,fresh; bright,"สดใจ, สดชื่น",3,4,สด; สดใส,
1355,鲜明,xiān míng,of colors bright; fresh and clear,สว่าง,3,6,สดใส,
1358,一个劲儿,yí gè jìn ér,"continuously, persistently",ต่อเนื่อง,2,6,ต่อเนื่อง,
1359,一代,yí dài,an era; an age,รุ่น,2,5,รุ่น,"EN-GLOSS-BUG: 一代 = 'a generation' (รุ่น), not 'an era/age'; Thai keeps the real sense"
1360,一大早,yī dà zǎo,at dawn; at first light,ตั้งแต่เช้า,2,6,แต่เช้าตรู่,
1361,一头,yī tóu,one head; a head full of something,ศีรษะเต็ม,2,4,เต็มหัวไปหมด,一头 'a head full of'; rendering approximate — second opinion
1367,一旁,yī páng,aside; to the side of,ข้างเคียง,2,5,ข้างๆ,
1368,一番,yī fān,a round of; quite some,"ครั้งหนึ่ง, พอสมควร",2,5,ครั้งหนึ่ง; พอสมควร,
1372,一面,yí miàn,one side; one aspect,ด้านหนึ่ง,2,4,ด้านหนึ่ง,
1374,万分,wàn fēn,very much; extremely,มากมายนัก,2,6,อย่างยิ่ง,
1376,上台,shàng tái,to rise to power; to go on stage,ขึ้นเวที,2,4,ขึ้นเวที; ขึ้นสู่อำนาจ,
1383,不光,bù guāng,not the only one; not only,ไม่ใช่แค่,2,4,ไม่ใช่แค่,
1389,不怎么样,bù zěn me yàng,not up to much; very indifferent,ไม่ค่อย,2,4,"งั้นๆ, ไม่เท่าไหร่",
1391,不止,bù zhǐ,incessantly; without end,ไม่หยุด,2,6,ไม่หยุด,EN-GLOSS-BUG: 不止 more commonly = 'more than / not only' (ไม่เพียงแค่); gloss only gives the 'incessant' sense
1398,世故,shì gù,the ways of the world,รู้เรื่องหลายๆ ด้าน,2,6,"เจนโลก, รู้ประสีประสา",世故 worldly-wise; noun/adj nuance — second opinion
1406,中华民族,zhōng huá mín zú,the Chinese nation; the Chinese people,ชาวจีน,2,5,ชนชาติจีน,
1411,丰收,fēng shōu,to reap a bumper harvest,เก็บเกี่ยวดี,2,5,เก็บเกี่ยวได้ผลดี,
1412,主人公,zhǔ rén gōng,hero; main protagonist,ตัวประกอบสำคัญ,2,6,ตัวเอก,"current ตัวประกอบสำคัญ = supporting character/extra, wrong"
1413,主张,zhǔ zhāng,to advocate; to stand for,เห็นชอบ,2,5,สนับสนุน,"current เห็นชอบ = approve, off; 主张 = advocate"
1414,举世闻名,jǔ shì wén míng,world-famous,มีชื่อเสียงท่ั่วโลก,2,6,มีชื่อเสียงไปทั่วโลก,current had typo ท่ั่วโลก
1418,乘,chéng,to ride; to take (a vehicle),"ขี่, โดยสาร",2,5,"โดยสาร, นั่ง","current ขี่ = ride astride, off for boarding a vehicle"
1419,乘车,chéng chē,to ride; to drive,โดยสารรถ,2,6,โดยสารรถ,EN-GLOSS-BUG: 'to drive' should be 'to ride/take a vehicle'
1420,乡村,xiāng cūn,rustic; village,หมู่บ้าน,2,5,ชนบท; หมู่บ้าน,
1423,争,zhēng,to strive for; to vie for,ชิงชัง,2,5,แย่งชิง,"current ชิงชัง = to loathe, wrong; 争 = strive/vie"
1432,产地,chǎn dì,source; place of origin,ต้นทาง,2,5,แหล่งผลิต; แหล่งกำเนิด,"current ต้นทาง = route origin, off"
1436,亲眼,qīn yǎn,with one's own eyes; personally,ด้วยตาของเอง,2,6,ด้วยตาตัวเอง,current had typo ตาของเอง
1443,从中,cóng zhōng,from among them; from it,จากตรงนี้,2,6,จากในนั้น,"current จากตรงนี้ = from here, off"
1445,付,fù,to pay; to hand over,"จ่าย, มอบให้",2,5,จ่าย; มอบให้,distinct senses -> semicolon
1447,代,dài,to be a substitute for; generation,แทน,2,4,แทน; รุ่น,added distinct 'generation' sense
1450,任,rèn,to appoint; to assign (a post),มอบหมาย,2,6,แต่งตั้ง; มอบหมาย,
1461,住院,zhù yuàn,to stay in hospital; to be hospitalized,อยู่ในโรงพยาบาล,2,4,นอนโรงพยาบาล,more natural than อยู่ในโรงพยาบาล
1463,体贴,tǐ tiē,considerate,ใจดี,2,6,"เอาใจใส่, เข้าอกเข้าใจ","current ใจดี = kind, not considerate"
1465,何况,hé kuàng,let alone; to say nothing of,นอกจากนี้,2,5,ยิ่งไม่ต้องพูดถึง,"current นอกจากนี้ = besides, off"
1469,便利,biàn lì,convenient; easy,สะดวก,2,5,สะดวก,
1476,信箱,xìn xiāng,mailbox; post office box,กล่องจดหมาย,2,4,กล่องจดหมาย,
1480,借鉴,jiè jiàn,to draw on; to learn from,อ้างอิง,2,6,นำมาเป็นแบบอย่าง,second opinion: draw-lessons-from vs cite
1481,倾诉,qīng sù,to say everything,บอกทั้งหมด,2,5,ระบายความในใจ,EN-GLOSS-BUG: 'to say everything' weak; real sense = pour out one's feelings/confide
1483,假装,jiǎ zhuāng,to feign; to pretend,แกล้ง,2,5,"แกล้งทำเป็น, เสแสร้ง",bare แกล้ง can read as tease/bully
1485,偏僻,piān pì,remote; desolate,ห่างไกล,2,6,ห่างไกล,
1487,做饭,zuò fàn,to prepare a meal; to cook,ทำข้าว,2,3,"ทำกับข้าว, ทำอาหาร",ทำข้าว is casual/regional
1490,停顿,tíng dùn,to halt; to break off,หยุด,2,6,หยุดชะงัก,captures pause nuance vs plain หยุด
1494,储蓄,chǔ xù,to save money; savings,เก็บสะสม,2,6,เก็บออม; เงินออม,"current เก็บสะสม = accumulate, off from save/savings"
1500,光芒,guāng máng,rays of light; brilliant rays,แสงส่องพรั่ง,2,6,ลำแสง; รัศมี,current แสงส่องพรั่ง unnatural
1502,免疫,miǎn yì,immunity,ภูมิคุ้มกัน,2,6,ภูมิคุ้มกัน,
1503,全身,quán shēn,the whole body; typography em,ร่างกายทั้งหมด,2,5,"ทั้งตัว, ทั่วร่างกาย",EN-GLOSS-BUG: 'typography em' is a bogus sense
1513,兴高采烈,xìng gāo cǎi liè,happy and excited; in high spirits,มีความสุขสูง,2,6,"ดีอกดีใจ, ร่าเริงยินดี",current มีความสุขสูง unnatural
1515,典型,diǎn xíng,model; typical case,ตัวแบบ,2,6,แบบฉบับ,current ตัวแบบ off; 典型 = typical/classic example
1518,再说,zài shuō,besides; to deal with it later,พูดใหม่,2,3,อีกอย่าง; เอาไว้ค่อยว่ากัน,"current พูดใหม่ = say again, wrong"
1519,冒,mào,to emit; to risk,ปล่อยออกมา,2,6,พ่นออกมา; เสี่ยง,two distinct senses emit/risk
1528,出版,chū bǎn,to publish,พิมพ์,2,5,ตีพิมพ์,current พิมพ์ = print/type; 出版 = publish
1534,分类,fēn lèi,to classify,การจำแนก,2,5,จำแนกประเภท,English lead is a verb; de-nominalize การจำแนก
1536,划,huà,to plan; to delimit,"วางแผน, กำหนดขอบเขต",2,5,"วางแผน, กำหนดขอบเขต",
1538,创建,chuàng jiàn,to found; to establish,ก่อตั้ง,2,6,ก่อตั้ง,
1540,初衷,chū zhōng,original intention,จุดมุ่งหมายแรก,2,6,ความตั้งใจแรกเริ่ม,current จุดมุ่งหมายแรก off
1542,利益,lì yì,benefit; in someone's interest,ผลประโยชน์,2,6,ผลประโยชน์,
1545,前后,qián hòu,around; from beginning to end,"ประมาณ, จากต้นจนจบ",2,5,ประมาณ; ตั้งแต่ต้นจนจบ,distinct senses -> semicolon
1546,前往,qián wǎng,to leave for; to proceed towards,เดินทางไป,2,6,เดินทางไป,
1547,前提,qián tí,premise; precondition,เงื่อนไขเบื้องต้น,2,6,เงื่อนไขเบื้องต้น,
1548,前景,qián jǐng,prospects; outlook,มุมมองล่วงหน้า,2,6,แนวโน้มในอนาคต,current มุมมองล่วงหน้า unnatural
1549,前期,qián qī,preceding period; early stage,ระยะแรก,2,5,ระยะแรก,
1550,前来,qián lái,to come; before,มาก่อน,2,3,เดินทางมา,"current มาก่อน = come first, wrong"
1553,剧,jù,theatrical work; dramatic,บทละคร,2,6,ละคร; บทละคร,
1556,办事,bàn shì,to handle; to work,ทำการ,2,5,จัดการธุระ,current ทำการ is banned/incomplete pattern
1557,办理,bàn lǐ,to handle; to transact,บริหารการ,2,5,ดำเนินการ,current บริหารการ incomplete/odd
1558,功,gōng,meritorious deed or service; achievement,"ความดีความชอบ, ความสำเร็จ",2,4,ความดีความชอบ; ความสำเร็จ,distinct senses -> semicolon
1561,加重,jiā zhòng,to make heavier; to emphasize,ทำให้หนักขึ้น,2,5,ทำให้หนักขึ้น,
1562,动听,dòng tīng,pleasant to listen to,ฟังพอใจ,2,6,"ไพเราะ, น่าฟัง",current ฟังพอใจ unnatural
1563,劳动,láo dòng,work; toil,การงาน,2,5,แรงงาน,current การงาน = occupation; 劳动 leans labor
1564,勉强,miǎn qiǎng,reluctantly; to force,บังคับ,2,6,ฝืนใจ,current บังคับ = force; 勉强 = do reluctantly/barely
1573,午睡,wǔ shuì,to take a nap in the afternoon,นอนเที่ยงวัน,2,6,นอนกลางวัน,more natural than นอนเที่ยงวัน
1577,卓越,zhuó yuè,outstanding; surpassing,เลิศเด่น,2,6,"ยอดเยี่ยม, เป็นเลิศ",current เลิศเด่น uncommon compound
1578,单位,dān wèi,unit; work unit,หน่วย,2,5,หน่วย; หน่วยงาน,added work-unit sense
1580,单调,dān diào,monotonous,น่าเบื่อ,2,5,ซ้ำซากจำเจ,current น่าเบื่อ = boring; 单调 = monotonous
1582,占用,zhàn yòng,to occupy,ยึดครอบ,2,5,ใช้ (พื้นที่/เวลา),current typo ยึดครอบ; 占用 = take up (time/space)
1584,印,yìn,to print; seal,พิมพ์,2,4,พิมพ์; ตราประทับ,added distinct seal sense
1586,即便,jí biàn,even if; even though,แม้ว่า,2,5,แม้ว่า,
1587,卷,juǎn,to roll up; to sweep up,ม้วน,2,5,ม้วน,
1588,历程,lì chéng,course; process,ขั้นตอน,2,6,เส้นทาง; กระบวนการ,"current ขั้นตอน = steps, off"
1591,厕所,cè suǒ,toilet; lavatory,ห้องน้ำ,2,5,ห้องน้ำ,
1594,原地,yuán dì,in place; on the spot,สถานที่เดิม,2,5,อยู่กับที่,"current สถานที่เดิม = former place, off"
1595,双,shuāng,pair; both,คู่,2,3,คู่,
1596,双向,shuāng xiàng,bidirectional; two-way,สองทาง,2,6,สองทาง,
1597,双重,shuāng chóng,double,"สองชั้น, ทวิภาค",2,6,สองชั้น; ซ้อนสอง,second opinion: current ทวิภาค odd for 'double/dual'
1599,反思,fǎn sī,to think back over something; to review,พิจารณาย้อนกลับ,2,6,ทบทวนตัวเอง,current พิจารณาย้อนกลับ literal; 反思 = self-reflect
1600,反感,fǎn gǎn,to be disgusted with; to dislike,ไม่ชอบ,2,6,รังเกียจ,current ไม่ชอบ mild; 反感 stronger aversion
1603,发扬,fā yáng,to develop; to make full use of,เผยแพร่,2,6,ส่งเสริม,
1605,发觉,fā jué,to become aware; to detect,ค้นพบ,2,6,สังเกตเห็น; รู้ตัว,
1610,口哨,kǒu shào,whistle,หวี่,2,6,ผิวปาก,
1612,古,gǔ,ancient; old,เก่า,2,6,โบราณ; เก่าแก่,
1613,古人,gǔ rén,people of ancient times; the ancients,บรรพบุรุษ,2,6,คนโบราณ; คนสมัยก่อน,
1619,台球,tái qiú,billiards,บิลเลียร์ด,2,6,บิลเลียด,
1620,台阶,tái jiē,steps; flight of steps,บันได,2,5,ขั้นบันได; บันได,
1621,吃力,chī lì,to entail strenuous effort; to toil at a task,เหนื่อย,2,6,ต้องออกแรงมาก; ลำบาก,
1625,后天,hòu tiān,the day after tomorrow; life after birth,มะรืนนี้,2,2,มะรืนนี้; ภายหลังกำเนิด,
1627,向上,xiàng shàng,upward; up,ขึ้นไป,2,2,ขึ้นไป,
1628,吓,xià,to frighten; to scare,"กลัว, หลอก",2,5,ทำให้ตกใจ; ขู่,current กลัว is intransitive 'be afraid'; 吓 is transitive 'to scare'
1630,吸,xī,to breathe; to suck in,ดูดเข้า,2,5,สูด; ดูด,
1631,呈现,chéng xiàn,to appear; to emerge,แสดงให้เห็น,2,6,ปรากฏ; แสดงให้เห็น,
1636,和睦,hé mù,peaceful relations; harmonious,อย่างเป็นมิตร,2,6,กลมเกลียว; ปรองดอง,
1647,嘲笑,cháo xiào,to jeer at; to deride,เยาะหยัง,2,5,หัวเราะเยาะ; เยาะเย้ย,
1649,器械,qì xiè,apparatus; instrument,เครื่องมือ,2,6,อุปกรณ์; เครื่องมือ,
1651,四面八方,sì miàn bā fāng,idiom all directions; all around,ทั่วทุกทิศ,2,6,ทั่วทุกทิศ,
1655,图纸,tú zhǐ,blueprint; drawing,ภาพวาด,2,5,พิมพ์เขียว; แบบแปลน,
1665,坏事,huài shì,bad thing; misdeed,เรื่องชั่ว,2,4,เรื่องร้าย; เรื่องไม่ดี,
1677,堕落,duò luò,to degrade; to degenerate,เสื่อมสลาย,2,5,เสื่อมทราม; ตกต่ำ,
1678,堵,dǔ,to block up; to stop up,อุดตัน,2,4,อุดตัน,
1682,墙,qiáng,wall,ผนัง,2,5,กำแพง; ผนัง,
1687,外地,wài dì,parts of the country other than where one is,สถานที่อื่น,2,4,ต่างถิ่น; ที่อื่นในประเทศ,
1688,外表,wài biǎo,external; outside,หน้าตา,2,5,รูปลักษณ์ภายนอก; ภายนอก,
1692,多元,duō yuán,poly-; multi-,หลายมิติ,2,6,หลากหลาย; หลายองค์ประกอบ,
1693,多样,duō yàng,diverse; diversity,หลายชนิด,2,4,หลากหลาย,
1699,大多,dà duō,for the most part; many,สำหรับส่วนใหญ่,2,4,ส่วนใหญ่; ส่วนมาก,
1700,大胆,dà dǎn,brazen; audacious,กล้า,2,6,กล้า; ใจกล้า,
1706,失落,shī luò,to lose; to drop,สูญหาย,2,5,รู้สึกใจหาย (ผิดหวัง); สูญเสีย,EN-GLOSS-BUG: gloss 'to lose; to drop' omits dominant sense 'feel a sense of loss / dejected'; led with the real sense
1707,头顶,tóu dǐng,top of the head,ยอดศรีษะ,2,5,กลางกระหม่อม; บนศีรษะ,
1711,奖品,jiǎng pǐn,award; prize,รางวัล,2,5,รางวัล,
1713,奠定,diàn dìng,to establish; to fix,สร้างฐานมูลนิธิ,2,6,วางรากฐาน; วางพื้นฐาน,current used มูลนิธิ (charity org); 奠定 = lay a foundation/basis
1714,奢侈,shē chǐ,luxurious; extravagant,หรูหรา,2,6,ฟุ่มเฟือย; หรูหรา,
1716,好心,hǎo xīn,kindness; good intentions,ใจดี,2,4,หวังดี; ใจดี,
1717,好感,hǎo gǎn,good opinion; favorable impression,ประทับใจ,2,5,ความประทับใจ; ความรู้สึกชอบ,
1723,姿态,zī tài,attitude; posture,ท่าทาง,2,6,ท่าทาง; ท่าที,
1727,字迹,zì jì,handwriting,ลายเขียนมือ,2,6,ลายมือ,
1728,存,cún,to exist; to deposit,"มีอยู่, เก็บ",2,4,มีอยู่; ฝาก,
1730,孤立,gū lì,to isolate; isolated,แยกออกจากกัน,2,6,โดดเดี่ยว; แยกให้อยู่ลำพัง,
1737,实用,shí yòng,to apply in practice; practical,เป็นประโยชน์,2,6,ใช้ได้จริง; ใช้งานได้จริง,
1738,宠,chǒng,to love; to pamper,ชื่นชมเห่ย,2,6,เอ็นดู; ตามใจ,
1747,小吃,xiǎo chī,street food; snack,ขนมเบา ๆ,2,4,ของกินเล่น; อาหารริมทาง,
1748,小品,xiǎo pǐn,comic sketch; short essay,วรรณกรรมเล็กน้อย,2,6,ละครสั้นตลก; บทความสั้น,
1752,尤为,yóu wèi,especially,โดยเฉพาะ,2,6,โดยเฉพาะ,
1753,尺,chǐ,Chinese foot (unit),หน่วยวัด,2,6,ฉื่อ (มาตราวัดความยาวจีน),uncertain: unit transliterated as ฉื่อ; alt หน่วยวัดความยาวจีน
1756,屋子,wū zi,house; room,บ้าน,2,5,ห้อง; บ้าน,
1759,山区,shān qū,mountain area,"เขตเขา, พื้นที่เขาภูเขา",2,4,เขตภูเขา; พื้นที่ภูเขา,
1760,山峰,shān fēng,mountain peak,"ยอดเขา, ยอดภูเขา",2,5,ยอดเขา,
