key,english,thai_current,thai_proposed
notify.streak.body,{remaining} words keep it alive — a quick Word Quest does it.,อีก {remaining} คำสตรีคก็รอด — เล่นภารกิจคำศัพท์สั้น ๆ ก็พอ,อีก {remaining} คำ การเรียนต่อเนื่องก็ไม่ขาด — เล่นภารกิจคำศัพท์สั้น ๆ ก็พอ
notify.comeback.title,Your lucky cat misses you 🐱,เจ้าแมวนำโชคคิดถึงคุณนะ 🐱,เจ้าแมวนำโชคคิดถึงคุณนะ 🐱
notify.comeback.body,You were on a {n}-day roll — jump back in and get it going again!,คุณทำสตรีคได้ตั้ง {n} วัน — กลับมาลุยต่อกันเลย!,คุณเรียนต่อเนื่องมาตั้ง {n} วัน — กลับมาลุยต่อกันเลย!
account.row,Account,บัญชี,บัญชี
account.title,Account,บัญชี,บัญชี
account.status.local,On this device,อยู่บนเครื่องนี้,อยู่บนเครื่องนี้
account.status.guest,Guest account,บัญชีผู้เยี่ยมชม,บัญชีผู้เยี่ยมชม
account.status.signedIn,Signed in as {email},เข้าสู่ระบบเป็น {email},เข้าสู่ระบบเป็น {email}
account.explain.offline,Cloud accounts need an internet connection — your progress is safe on this device.,บัญชีคลาวด์ต้องใช้อินเทอร์เน็ต — ความคืบหน้าของคุณยังปลอดภัยบนเครื่องนี้,บัญชีคลาวด์ต้องใช้อินเทอร์เน็ต — ความคืบหน้าของคุณยังปลอดภัยบนเครื่องนี้
account.explain.local,Your progress lives on this device. Connect to back it up to the cloud.,ความคืบหน้าของคุณอยู่บนเครื่องนี้ เชื่อมต่อเพื่อสำรองข้อมูลบนคลาวด์,ความคืบหน้าของคุณอยู่บนเครื่องนี้ เชื่อมต่อเพื่อสำรองข้อมูลบนคลาวด์
account.explain.guest,Connected as a guest. Add your email so your account isn't lost with this device.,เชื่อมต่อแบบผู้เยี่ยมชมแล้ว เพิ่มอีเมลเพื่อไม่ให้บัญชีหายไปพร้อมเครื่อง,เชื่อมต่อแบบผู้เยี่ยมชมแล้ว เพิ่มอีเมลเพื่อไม่ให้บัญชีหายไปพร้อมเครื่อง
account.explain.signedIn,Your account is linked. Your progress backs up to the cloud automatically.,บัญชีของคุณเชื่อมต่อแล้ว ความคืบหน้าจะสำรองขึ้นคลาวด์ให้อัตโนมัติ,บัญชีของคุณเชื่อมต่อแล้ว ความคืบหน้าจะสำรองขึ้นคลาวด์ให้อัตโนมัติ
account.connect,Connect,เชื่อมต่อ,เชื่อมต่อ
account.sendCode,Send code,ส่งรหัส,ส่งรหัส
account.verify,Verify,ยืนยัน,ยืนยัน
account.resend,Resend code,ส่งรหัสอีกครั้ง,ส่งรหัสอีกครั้ง
account.resendWait,Resend in {s}s,ส่งใหม่ได้ใน {s} วิ,ส่งใหม่ได้ใน {s} วิ
account.signOut,Sign out,ออกจากระบบ,ออกจากระบบ
account.delete,Delete account,ลบบัญชี,ลบบัญชี
account.deleteConfirm,Permanently erase your cloud data? Signing out instead keeps it.,ลบข้อมูลบนคลาวด์อย่างถาวรหรือไม่? การออกจากระบบจะเก็บข้อมูลไว้,ลบข้อมูลบนคลาวด์อย่างถาวรหรือไม่? การออกจากระบบจะเก็บข้อมูลไว้
account.deleteConfirmYes,Delete permanently,ลบถาวร,ลบถาวร
account.deleteCancel,Cancel,ยกเลิก,ยกเลิก
account.deleteDone,Cloud account deleted,ลบบัญชีคลาวด์แล้ว,ลบบัญชีคลาวด์แล้ว
account.deleteFail,Couldn't delete — try again,ลบไม่สำเร็จ — ลองอีกครั้ง,ลบไม่สำเร็จ — ลองอีกครั้ง
account.emailPh,your@email.com,your@email.com,your@email.com
account.codePh,code from the email,รหัสจากอีเมล,รหัสจากอีเมล
account.codeSent,Code sent — check your email,ส่งรหัสแล้ว — เช็กอีเมลของคุณ,ส่งรหัสแล้ว — เช็กอีเมลของคุณ
account.changeEmail,Use a different email,ใช้อีเมลอื่น,ใช้อีเมลอื่น
account.signedIn,Signed in!,เข้าสู่ระบบแล้ว!,เข้าสู่ระบบแล้ว!
account.signedOut,Signed out,ออกจากระบบแล้ว,ออกจากระบบแล้ว
account.err.offline,No internet connection,ไม่มีการเชื่อมต่ออินเทอร์เน็ต,ไม่มีการเชื่อมต่ออินเทอร์เน็ต
account.err.network,Couldn't reach the cloud — try again,ติดต่อคลาวด์ไม่ได้ — ลองอีกครั้ง,ติดต่อคลาวด์ไม่ได้ — ลองอีกครั้ง
account.err.badEmail,That email doesn't look right,อีเมลนี้ดูไม่ถูกต้อง,อีเมลนี้ดูไม่ถูกต้อง
account.err.badCode,Wrong or expired code — try again,รหัสผิดหรือหมดอายุ — ลองอีกครั้ง,รหัสผิดหรือหมดอายุ — ลองอีกครั้ง
account.lastSynced,Last synced {when},ซิงค์ล่าสุด {when},ซิงค์ล่าสุด {when}
account.neverSynced,Not synced yet,ยังไม่ได้ซิงค์,ยังไม่ได้ซิงค์
account.restored,Progress restored ✓,กู้คืนความคืบหน้าแล้ว ✓,กู้คืนความคืบหน้าแล้ว ✓
account.benefit.safe,"Keeps your streak, coins and mastery backed up",สำรองสตรีค เหรียญ และคำที่เชี่ยวชาญของคุณไว้ให้,สำรองการเรียนต่อเนื่อง เหรียญ และคำที่เชี่ยวชาญของคุณไว้ให้
account.benefit.devices,Works on phone and computer — pick up where you left off,ใช้ได้ทั้งมือถือและคอมพิวเตอร์ — เล่นต่อจากที่ค้างไว้,ใช้ได้ทั้งมือถือและคอมพิวเตอร์ — เล่นต่อจากที่ค้างไว้
account.benefit.free,"Free — no password, just an email later if you want",ฟรี — ไม่ต้องตั้งรหัสผ่าน แค่อีเมลทีหลังถ้าต้องการ,ฟรี — ไม่ต้องตั้งรหัสผ่าน แค่อีเมลทีหลังถ้าต้องการ
welcome.title,Welcome!,ยินดีต้อนรับ!,ยินดีต้อนรับ!
welcome.blurb,Learn Chinese words by playing — a couple of minutes a day.,เรียนคำศัพท์จีนผ่านการเล่น — วันละไม่กี่นาที,เรียนคำศัพท์จีนผ่านการเล่น — วันละไม่กี่นาที
welcome.language,Your language,ภาษาของคุณ,ภาษาของคุณ
welcome.level,Start at,เริ่มที่ระดับ,เริ่มที่ระดับ
welcome.levelHint,New to HSK? Start with HSK1 — you can change this any time.,เพิ่งเริ่ม HSK ใช่ไหม? เริ่มที่ HSK1 และเปลี่ยนได้ทุกเมื่อ,เพิ่งเริ่ม HSK ใช่ไหม? เริ่มที่ HSK1 และเปลี่ยนได้ทุกเมื่อ
welcome.start,START LEARNING,เริ่มเรียนเลย,เริ่มเรียนเลย
account.supporterChip,Supporter ♥,ผู้สนับสนุน ♥,ผู้สนับสนุน ♥
settings.sfxVol,SFX volume,ระดับเสียงเอฟเฟกต์,ระดับเสียงเอฟเฟกต์
settings.voiceVol,Pronunciation,ระดับเสียงอ่าน,ระดับเสียงอ่าน
settings.analytics,Share anonymous usage data,แชร์ข้อมูลการใช้งานแบบไม่ระบุตัวตน,แชร์ข้อมูลการใช้งานแบบไม่ระบุตัวตน
settings.analyticsHint,"Helps improve the game. No personal info, no word history. Off by default.",ช่วยพัฒนาเกม ไม่มีข้อมูลส่วนตัว ไม่มีประวัติคำศัพท์ ปิดไว้เป็นค่าเริ่มต้น,ช่วยพัฒนาเกม ไม่มีข้อมูลส่วนตัว ไม่มีประวัติคำศัพท์ ปิดไว้เป็นค่าเริ่มต้น
settings.privacy,Privacy Policy,นโยบายความเป็นส่วนตัว,นโยบายความเป็นส่วนตัว
album.title,Sticker Album,อัลบั้มสติกเกอร์,อัลบั้มสติกเกอร์
album.back,← Profile,← โปรไฟล์,← โปรไฟล์
album.events,Events,อีเวนต์,อีเวนต์
sticker.scopeName,HSK{lv} · Top {n},HSK{lv} · Top {n},HSK{lv} · Top {n}
sticker.scopeHint,Master all Top {n} words of HSK{lv},เชี่ยวชาญคำศัพท์ Top {n} ของ HSK{lv} ให้ครบ,เชี่ยวชาญคำศัพท์ Top {n} ของ HSK{lv} ให้ครบ
sticker.msName,HSK{lv} · {pct}%,HSK{lv} · {pct}%,HSK{lv} · {pct}%
sticker.msHint,Master {pct}% of HSK{lv},เชี่ยวชาญ {pct}% ของ HSK{lv},เชี่ยวชาญ {pct}% ของ HSK{lv}
sticker.welcomeName,Welcome!,ยินดีต้อนรับ!,ยินดีต้อนรับ!
sticker.welcomeHint,Finish your first session,จบเซสชันแรกของคุณ,จบเซสชันแรกของคุณ
sticker.bossName,Challenge Champion,แชมป์ด่านทบทวน,แชมป์ด่านทบทวน
sticker.bossHint,Complete your first Review Challenge,ผ่านด่านทบทวนครั้งแรก,ผ่านด่านทบทวนครั้งแรก
sticker.streak7Name,7-Day Streak,สตรีค 7 วัน,เรียนต่อเนื่อง 7 วัน
sticker.streak7Hint,Keep a 7-day study streak,รักษาสตรีคการเรียนต่อเนื่อง 7 วัน,รักษาการเรียนต่อเนื่อง 7 วัน
sticker.streak30Name,30-Day Streak,สตรีค 30 วัน,เรียนต่อเนื่อง 30 วัน
sticker.streak30Hint,Keep a 30-day study streak,รักษาสตรีคการเรียนต่อเนื่อง 30 วัน,รักษาการเรียนต่อเนื่อง 30 วัน
sticker.monthlyName,Monthly Champion,แชมป์รายเดือน,แชมป์รายเดือน
sticker.monthlyHint,Finish 40 quests in a month,ทำเควสต์สำเร็จ 40 ครั้งในหนึ่งเดือน,ทำภารกิจสำเร็จ 40 ครั้งในหนึ่งเดือน
shop.title,Shop,ร้านค้า,ร้านค้า
shop.skins,Cat skins,สกินแมว,สกินแมว
shop.backdrops,Quest backdrops,ฉากหลัง,ฉากหลัง
shop.effects,Effects,เอฟเฟกต์,เอฟเฟกต์
shop.sounds,Sounds,เสียง,เสียง
shop.supplies,Supplies,ของใช้,ของใช้
shop.street,Street decorations,ของตกแต่งถนน,ของตกแต่งถนน
shop.streetAvailable,Available for your street,ของที่ใช้บนถนนได้,ของที่ใช้บนถนนได้
shop.streetFocusTitle,Build your street,สร้างถนนของคุณ,สร้างถนนของคุณ
shop.streetFocusNote,Preview every decoration in your own street before spending coins.,ลองดูของตกแต่งบนถนนจริงก่อนใช้เหรียญ,ลองดูของตกแต่งบนถนนจริงก่อนใช้เหรียญ
shop.viewStreet,View my street,ดูถนนของฉัน,ดูถนนของฉัน
shop.preview,Preview,ลองดู,ลองดู
shop.previewItem,Preview {name} on your street,ลองดู{name}บนถนนของคุณ,ลองดู{name}บนถนนของคุณ
shop.wallet,Wallet: <b>{coins}</b> coins,กระเป๋าเงิน: <b>{coins}</b> เหรียญ,กระเป๋าเงิน: <b>{coins}</b> เหรียญ
shop.buy,Buy,ซื้อ,ซื้อ
shop.equip,Equip,ใช้งาน,ใช้งาน
shop.equipped,Equipped,ใช้งานอยู่,ใช้งานอยู่
shop.coins,{coins} coins,{coins} เหรียญ,{coins} เหรียญ
shop.daily,Today's Stock,สินค้าวันนี้,สินค้าวันนี้
shop.dailyNote,New stock at midnight,อัปเดตสินค้าใหม่ตอนเที่ยงคืน,อัปเดตสินค้าใหม่ตอนเที่ยงคืน
shop.dailyAllOwned,All stocked up! Fresh finds at midnight 🌙,มีครบทุกชิ้นแล้ว! ของใหม่มาตอนเที่ยงคืน 🌙,มีครบทุกชิ้นแล้ว! ของใหม่มาตอนเที่ยงคืน 🌙
shop.season,Season Corner,มุมเทศกาล,มุมเทศกาล
shop.seasonUntil,Available until {date},มีถึง {date},มีถึง {date}
shop.seasonReturns,🏮 {name} set returns {date},🏮 เซ็ต {name} จะกลับมา {date},🏮 เซ็ต {name} จะกลับมา {date}
shop.upgrade,Upgrade {stars} ({coins}),อัปเกรด {stars} ({coins}),อัปเกรด {stars} ({coins})
shop.owned-count,Owned: {n}/{cap},มีอยู่: {n}/{cap},มีอยู่: {n}/{cap}
shop.getCoins,Get Coins,เติมเหรียญ,เติมเหรียญ
shop.supporterTitle,Supporter,ผู้สนับสนุน,ผู้สนับสนุน
shop.supporterDesc,"Remove ads forever · +2,000 coins · Supporter badge","ปิดโฆษณาถาวร · รับ 2,000 เหรียญ · แบดจ์ผู้สนับสนุน","ปิดโฆษณาถาวร · รับ 2,000 เหรียญ · แบดจ์ผู้สนับสนุน"
shop.supporterOwned,Thank you for supporting Lucky Cat! ♥,ขอบคุณที่สนับสนุน Lucky Cat! ♥,ขอบคุณที่สนับสนุน Lucky Cat! ♥
iap.amount,{coins} coins,{coins} เหรียญ,{coins} เหรียญ
iap.pending,Processing…,กำลังดำเนินการ…,กำลังดำเนินการ…
iap.failed,Purchase failed — nothing was charged. Try again.,การซื้อไม่สำเร็จ — ยังไม่มีการเรียกเก็บเงิน ลองใหม่อีกครั้ง,การซื้อไม่สำเร็จ — ยังไม่มีการเรียกเก็บเงิน ลองใหม่อีกครั้ง
iap.success,+{coins} coins added!,ได้รับ +{coins} เหรียญแล้ว!,ได้รับ +{coins} เหรียญแล้ว!
iap.supporterThanks,You're a Supporter now — thank you! ♥,คุณเป็นผู้สนับสนุนแล้ว — ขอบคุณ! ♥,คุณเป็นผู้สนับสนุนแล้ว — ขอบคุณ! ♥
iap.restore,Restore Purchases,กู้คืนการซื้อ,กู้คืนการซื้อ
iap.restored,Supporter restored ♥,กู้คืนสถานะผู้สนับสนุนแล้ว ♥,กู้คืนสถานะผู้สนับสนุนแล้ว ♥
iap.nothingToRestore,Nothing to restore,ไม่มีรายการให้กู้คืน,ไม่มีรายการให้กู้คืน
iap.restoreFailed,Restore failed — check your connection and try again.,กู้คืนไม่สำเร็จ — ตรวจสอบการเชื่อมต่อแล้วลองใหม่,กู้คืนไม่สำเร็จ — ตรวจสอบการเชื่อมต่อแล้วลองใหม่
iap.processing,Purchase is processing — your coins will arrive shortly.,การซื้อกำลังดำเนินการ — เหรียญของคุณจะเข้าบัญชีในไม่ช้า,การซื้อกำลังดำเนินการ — เหรียญของคุณจะเข้าบัญชีในไม่ช้า
shop.maxed,★★★,★★★,★★★
season.summer,Summer,ฤดูร้อน,ฤดูร้อน
season.midautumn,Mid-Autumn,ไหว้พระจันทร์,ไหว้พระจันทร์
season.cny,Lunar New Year,ตรุษจีน,ตรุษจีน
streak.restUsed,🍵 Rest day used — your {n}-day streak is safe.,🍵 ใช้วันพักแล้ว — สตรีค {n} วันของคุณยังปลอดภัย,🍵 ใช้วันพักแล้ว — สถิติเรียนต่อเนื่อง {n} วันของคุณยังปลอดภัย
scope.title,Choose your words,เลือกคำศัพท์,เลือกคำศัพท์
scope.levels,Levels,ระดับ,ระดับ
scope.filters,Filters,ตัวกรอง,ตัวกรอง
scope.highYield,High-yield only,เฉพาะคำออกบ่อย,เฉพาะคำออกบ่อย
scope.newOnly,New words only,เฉพาะคำใหม่,เฉพาะคำใหม่
scope.topN,Top-N by frequency,จัดอันดับตามความถี่,จัดอันดับตามความถี่
scope.all,All,ทั้งหมด,ทั้งหมด
scope.meaningLang,Meaning language,ภาษาที่ใช้แสดงความหมาย,ภาษาที่ใช้แสดงความหมาย
scope.english,English,ภาษาอังกฤษ,ภาษาอังกฤษ
scope.both,Both,ทั้งสอง,ทั้งสอง
scope.sessionLen,Session length,จำนวนคำต่อรอบ,จำนวนคำต่อรอบ
scope.custom,Custom,กำหนดเอง,กำหนดเอง
scope.customPh,5–500,5–500,5–500
scope.endless,Endless,ไม่จำกัด,ไม่จำกัด
scope.cards,Cards,บัตรคำ,บัตรคำ
scope.cardsResume,Resume Cards · {n},เล่นบัตรคำต่อ · {n},เล่นบัตรคำต่อ · {n}
scope.wordQuest,Word Quest · {n},เควสต์คำศัพท์ · {n},ภารกิจคำศัพท์ · {n}
scope.smartReview,Smart Review,ทบทวนอัจฉริยะ,ทบทวนอัจฉริยะ
scope.smartReviewProgress,Smart Review · {have}/{min},ทบทวนอัจฉริยะ · {have}/{min},ทบทวนอัจฉริยะ · {have}/{min}
scope.smartReviewReady,Smart Review · {n},ทบทวนอัจฉริยะ · {n},ทบทวนอัจฉริยะ · {n}
scope.smartReviewLocked,Play a session first — Smart Review learns your weak words,เล่นสักรอบก่อน — ทบทวนอัจฉริยะจะเรียนรู้คำที่คุณยังไม่แม่น,เล่นสักรอบก่อน — ทบทวนอัจฉริยะจะเรียนรู้คำที่คุณยังไม่แม่น
scope.readout,Pool: <b>{count}</b> words · ~<b>{pct}%</b> of exam text,คลังคำ: <b>{count}</b> คำ · ~<b>{pct}%</b> ของข้อสอบ,คลังคำ: <b>{count}</b> คำ · ~<b>{pct}%</b> ของข้อสอบ
scope.readoutNoThai,* {n} long-tail words have no Thai yet — English shown instead.,* มี {n} คำที่ยังไม่มีภาษาไทย — แสดงภาษาอังกฤษแทน,* มี {n} คำที่ยังไม่มีภาษาไทย — แสดงภาษาอังกฤษแทน
scope.tabPicker,Picker,เลือกเอง,เลือกเอง
scope.tabJourney,Journey,เส้นทาง,เส้นทาง
scores.title,Best Sessions,สถิติดีที่สุด,สถิติดีที่สุด
scores.empty,No sessions yet — complete a Word Quest.,ยังไม่มีสถิติ — เล่นเควสต์คำศัพท์ก่อน,ยังไม่มีสถิติ — เล่นภารกิจคำศัพท์ก่อน
profile.defaultName,Lucky Learner,นักเรียนแมวนำโชค,นักเรียนแมวนำโชค
profile.avatar,Profile picture for {name},รูปโปรไฟล์ของ {name},รูปโปรไฟล์ของ {name}
profile.editName,Edit,แก้ไข,แก้ไข
profile.namePh,Player name,ชื่อผู้เล่น,ชื่อผู้เล่น
profile.saveName,Save,บันทึก,บันทึก
profile.cancelName,Cancel,ยกเลิก,ยกเลิก
profile.level,Lucky Cat · Lv {lv},แมวนำโชค · Lv {lv},แมวนำโชค · Lv {lv}
profile.xp,{into}/{need} XP toward the next level,{into}/{need} XP สู่เลเวลถัดไป,{into}/{need} XP สู่เลเวลถัดไป
profile.streak,{n}-day streak,สตรีค {n} วัน,เรียนต่อเนื่อง {n} วัน
profile.coins,{n} coins,{n} เหรียญ,{n} เหรียญ
profile.mastered,Words mastered,คำที่เชี่ยวชาญ,คำที่เชี่ยวชาญ
profile.seen,Words seen,คำที่เคยเรียน,คำที่เคยเรียน
profile.stickers,Stickers earned,สติกเกอร์ที่ได้รับ,สติกเกอร์ที่ได้รับ
profile.bestSession,Best session,คะแนนรอบดีที่สุด,คะแนนรอบดีที่สุด
profile.collectionTitle,Your collection,คอลเลกชันของคุณ,คอลเลกชันของคุณ
profile.collectionCount,{owned}/{total} cosmetics,ของตกแต่ง {owned}/{total},ของตกแต่ง {owned}/{total}
profile.stickerCount,{earned}/{total} stickers,สติกเกอร์ {earned}/{total},สติกเกอร์ {earned}/{total}
profile.skin,Cat: {name},แมว: {name},แมว: {name}
profile.backdrop,Backdrop: {name},ฉากหลัง: {name},ฉากหลัง: {name}
profile.defaultCat,Default Cat,แมวเริ่มต้น,แมวเริ่มต้น
profile.defaultBackdrop,Default,ค่าเริ่มต้น,ค่าเริ่มต้น
profile.viewCollection,View Collection,ดูคอลเลกชัน,ดูคอลเลกชัน
profile.viewAlbum,Sticker Album,อัลบั้มสติกเกอร์,อัลบั้มสติกเกอร์
friend.compareCta,Compare with a friend,เทียบกับเพื่อน,เทียบกับเพื่อน
friend.title,Compare with a friend,เทียบกับเพื่อน,เทียบกับเพื่อน
friend.yourCode,Your code — share it,รหัสของคุณ — แชร์เลย,รหัสของคุณ — แชร์เลย
friend.share,Share my code,แชร์รหัสของฉัน,แชร์รหัสของฉัน
friend.shareText,Compare our Lucky Cat HSK progress!,มาเทียบความคืบหน้า Lucky Cat HSK กัน!,มาเทียบความคืบหน้า Lucky Cat HSK กัน!
friend.pasteLabel,Have a friend's code?,มีรหัสของเพื่อนไหม?,มีรหัสของเพื่อนไหม?
friend.pastePlaceholder,Paste their code here,วางรหัสของเพื่อนที่นี่,วางรหัสของเพื่อนที่นี่
friend.compareBtn,Compare,เทียบ,เทียบ
friend.compareAnother,Compare another,เทียบคนอื่น,เทียบคนอื่น
friend.invalidCode,That code doesn't look right. Ask for a fresh one.,รหัสนี้ดูไม่ถูกต้อง ขอรหัสใหม่จากเพื่อน,รหัสนี้ดูไม่ถูกต้อง ขอรหัสใหม่จากเพื่อน
friend.copied,Code copied to clipboard,คัดลอกรหัสแล้ว,คัดลอกรหัสแล้ว
friend.you,You,คุณ,คุณ
friend.them,Friend,เพื่อน,เพื่อน
friend.leadMine,You're ahead! 🎉,คุณนำอยู่! 🎉,คุณนำอยู่! 🎉
friend.leadTheirs,Your friend is ahead — catch up!,เพื่อนนำอยู่ — ตามให้ทัน!,เพื่อนนำอยู่ — ตามให้ทัน!
friend.leadTie,Neck and neck!,สูสีกันมาก!,สูสีกันมาก!
friend.metric.level,Level,เลเวล,เลเวล
friend.metric.streak,Day streak,สถิติต่อเนื่อง (วัน),เรียนต่อเนื่อง (วัน)
friend.metric.mastered,Words mastered,คำที่เชี่ยวชาญ,คำที่เชี่ยวชาญ
friend.metric.stickers,Stickers earned,สติกเกอร์ที่ได้รับ,สติกเกอร์ที่ได้รับ
profile.learningTitle,Learning progress,ความคืบหน้าการเรียน,ความคืบหน้าการเรียน
growth.title,Lucky Cat · Lv {lv},แมวนำโชค · Lv {lv},แมวนำโชค · Lv {lv}
growth.allUnlocked,All milestones unlocked!,ปลดล็อกครบทุกเป้าหมายแล้ว!,ปลดล็อกครบทุกเป้าหมายแล้ว!
progress.levelRow,{pct} mastered · {seen}/{total} seen,{pct} เชี่ยวชาญ · พบแล้ว {seen}/{total} คำ,{pct} เชี่ยวชาญ · พบแล้ว {seen}/{total} คำ
milestone.scarf,Red scarf,ผ้าพันคอสีแดง,ผ้าพันคอสีแดง
milestone.coin,Gold coin charm,เครื่องรางเหรียญทอง,เครื่องรางเหรียญทอง
milestone.outfit,Chinese outfit,ชุดจีน,ชุดจีน
milestone.kitten,Kitten follower,ลูกแมวติดตาม,ลูกแมวติดตาม
milestone.emperor,Emperor crown,มงกุฎจักรพรรดิ,มงกุฎจักรพรรดิ
more.tagline,Lucky Cat HSK — learn the words that actually appear on the test,Lucky Cat HSK — เรียนคำศัพท์ที่ออกข้อสอบจริง,Lucky Cat HSK — เรียนคำศัพท์ที่ออกข้อสอบจริง
quests.title,Daily Quests,เควสต์ประจำวัน,ภารกิจประจำวัน
journey.youAreHere,You are here,คุณอยู่ตรงนี้,คุณอยู่ตรงนี้
journey.nodeAll,HSK{lv} · All words,HSK{lv} · คำทั้งหมด,HSK{lv} · คำทั้งหมด
journey.nodeTop,HSK{lv} · Top {n},HSK{lv} · Top {n},HSK{lv} · {n} คำแรก
journey.play,Play,เล่น,เล่น
learn.exit,Exit,ออก,ออก
learn.stillLearning,Still learning,ยังไม่แม่น,ยังไม่แม่น
learn.knowIt,Know it,รู้แล้ว,รู้แล้ว
learn.count,{done} done · {left} left,เรียนแล้ว {done} · เหลือ {left},เรียนแล้ว {done} · เหลือ {left}
learn.hintFront,tap to flip · HSK{lv} · in {ta}/{tt} papers,แตะเพื่อพลิก · HSK{lv} · พบใน {ta}/{tt} ชุดข้อสอบ,แตะเพื่อพลิก · HSK{lv} · พบใน {ta}/{tt} ชุดข้อสอบ
learn.hintBack,tap to flip back,แตะเพื่อพลิกกลับ,แตะเพื่อพลิกกลับ
wd.info,Word detail,รายละเอียดคำ,รายละเอียดคำ
wd.core,Core,หลัก,หลัก
wd.extended,Extended,เพิ่มเติม,เพิ่มเติม
wd.appearsInPapers,Appears in {n} of {total} papers,พบใน {n} จาก {total} ชุดข้อสอบ,พบใน {n} จาก {total} ชุดข้อสอบ
wd.alsoInHsk3,Also in HSK 3.0 · Band {band},มีใน HSK 3.0 · ระดับ {band},มีใน HSK 3.0 · ระดับ {band}
quest.status.done,Done,สำเร็จ,สำเร็จ
quest.status.open,Open,ยังไม่เสร็จ,ยังไม่เสร็จ
quest.reward,+{reward} coins,+{reward} เหรียญ,+{reward} เหรียญ
quest.correct30,Answer 30 words correctly,ตอบถูก 30 คำ,ตอบถูก 30 คำ
quest.combo5,Reach a ×5 learning streak,ทำจังหวะโชคดี ×5,ทำจังหวะโชคดี ×5
quest.boss1,Complete a Review Challenge,ผ่านด่านทบทวน,ผ่านด่านทบทวน
quest.perfect1,Finish a Word Quest with no extra-practice words,จบภารกิจคำศัพท์โดยไม่มีคำที่ต้องฝึกเพิ่ม,จบภารกิจคำศัพท์โดยไม่มีคำที่ต้องฝึกเพิ่ม
quest.review1,Play a Smart Review quest,เล่นภารกิจทบทวนอัจฉริยะ,เล่นภารกิจทบทวนอัจฉริยะ
quest.learn20,Mark 20 flashcards as known,ทำเครื่องหมายรู้แล้ว 20 บัตร,ทำเครื่องหมายรู้แล้ว 20 บัตรคำ
quest.monthly.title,Monthly: {done}/{target} quests,รายเดือน: {done}/{target} เควสต์,รายเดือน: {done}/{target} ภารกิจ
quest.monthly.claim,Claim +{reward},รับ +{reward},รับ +{reward}
quest.monthly.badge,Monthly badge earned!,ได้เหรียญตรารายเดือนแล้ว!,ได้เหรียญตรารายเดือนแล้ว!
quest.monthly.autoClaimed,Monthly reward claimed for you: +{reward} coins,รับรางวัลรายเดือนให้คุณแล้ว: +{reward} เหรียญ,รับรางวัลรายเดือนให้คุณแล้ว: +{reward} เหรียญ
progress.title,Profile,โปรไฟล์,โปรไฟล์
progress.needsWork,Needs work,ต้องฝึกเพิ่ม,ต้องฝึกเพิ่ม
progress.reviewThese,Review these,ทบทวนคำเหล่านี้,ทบทวนคำเหล่านี้
progress.practiceThese,Practice These,ฝึกคำเหล่านี้,ฝึกคำเหล่านี้
progress.nothing,Nothing needs work — go play!,ไม่มีคำที่ต้องฝึก — ไปเล่นกันเลย!,ไม่มีคำที่ต้องฝึก — ไปเล่นกันเลย!
progress.album,Sticker Album,อัลบั้มสติกเกอร์,อัลบั้มสติกเกอร์
howto.title,How to play,วิธีเล่น,วิธีเล่น
howto.intro,Follow Lucky Cat along the <b>Lantern Trail</b>. Each stop presents a Chinese word with pinyin.,เดินไปกับแมวนำโชคตาม<b>เส้นทางโคมไฟ</b> แต่ละจุดจะแสดงคำศัพท์จีนพร้อมพินอิน,เดินไปกับแมวนำโชคตาม<b>เส้นทางโคมไฟ</b> แต่ละจุดจะแสดงคำศัพท์จีนพร้อมพินอิน
howto.tapMeaning,Choose the <b>correct meaning</b>. Consecutive first-try answers build Lucky Flow.,เลือก<b>ความหมายที่ถูกต้อง</b> การตอบถูกครั้งแรกต่อเนื่องจะสร้างจังหวะโชคดี,เลือก<b>ความหมายที่ถูกต้อง</b> การตอบถูกครั้งแรกต่อเนื่องจะสร้างจังหวะโชคดี
howto.oneShot,Missed words return.,คำที่พลาดจะกลับมา,คำที่พลาดจะกลับมา
howto.oneShotDetail,"A wrong tap reveals the answer and adds the word to your Review Pouch, so you can learn it when it returns.",หากแตะผิด เกมจะแสดงคำตอบและเพิ่มคำนั้นลงถุงทบทวน เพื่อให้คุณเรียนรู้อีกครั้งเมื่อคำนั้นกลับมา,หากแตะผิด เกมจะแสดงคำตอบและเพิ่มคำนั้นลงถุงทบทวน เพื่อให้คุณเรียนรู้อีกครั้งเมื่อคำนั้นกลับมา
howto.tooSlow,"If time runs out, the answer is revealed and the word returns soon. Your Word Quest continues until every planned word is learned.",หากหมดเวลา เกมจะแสดงคำตอบและนำคำนั้นกลับมาในไม่ช้า ภารกิจคำศัพท์จะดำเนินต่อจนคุณเรียนรู้ครบทุกคำที่วางไว้,หากหมดเวลา เกมจะแสดงคำตอบและนำคำนั้นกลับมาในไม่ช้า ภารกิจคำศัพท์จะดำเนินต่อจนคุณเรียนรู้ครบทุกคำที่วางไว้
howto.reviewChallenge,"Every tenth planned word becomes a <b>two-step Review Challenge</b>: meaning first, then reverse recall.",ทุกคำลำดับที่สิบจะเป็น<b>ด่านทบทวนสองขั้น</b>: เลือกความหมายก่อน แล้วนึกคำตอบย้อนกลับ,ทุกคำลำดับที่สิบจะเป็น<b>ด่านทบทวนสองขั้น</b>: เลือกความหมายก่อน แล้วนึกคำตอบย้อนกลับ
