hanzi,sentence,en,th
机票,我买了机票。,I bought a plane ticket.,ฉันซื้อตั๋วเครื่องบินแล้ว
鸡肉,我喜欢吃鸡肉。,I like eating chicken.,ฉันชอบกินเนื้อไก่
级,他是三年级学生。,He is a third-grade student.,เขาเป็นนักเรียนชั้นปีที่สาม
极了,这个蛋糕好吃极了。,This cake is extremely delicious.,เค้กชิ้นนี้อร่อยสุดๆ
几本书,我买了几本书。,I bought a few books.,ฉันซื้อหนังสือมาหลายเล่ม
几点,现在几点了？,What time is it now?,ตอนนี้กี่โมงแล้ว
几个,桌子上有几个苹果。,There are a few apples on the table.,บนโต๊ะมีแอปเปิลอยู่สองสามลูก
几乎,我几乎忘了他的名字。,I almost forgot his name.,ฉันเกือบลืมชื่อของเขาไปแล้ว
几年,我住了几年了。,I've lived here for a few years.,ฉันอาศัยอยู่ที่นี่มาหลายปีแล้ว
几千年,这座城有几千年历史。,This city has a history of several thousand years.,เมืองนี้มีประวัติศาสตร์นับพันปี
几天,我要在这儿住几天。,I'm going to stay here for a few days.,ฉันจะพักที่นี่สักสองสามวัน
己,他对自己没信心。,He has no confidence in himself.,เขาไม่มั่นใจในตัวเอง
记,请记住我的电话号码。,Please remember my phone number.,กรุณาจำเบอร์โทรศัพท์ของฉันไว้
记错,我记错时间了。,I got the time wrong.,ฉันจำเวลาผิด
记住,请记住我的话。,Please remember what I said.,กรุณาจำคำพูดของฉันไว้
季,一年有四季。,There are four seasons in a year.,หนึ่งปีมีสี่ฤดู
季节,春天是我喜欢的季节。,Spring is my favorite season.,ฤดูใบไม้ผลิเป็นฤดูที่ฉันชอบ
间,房间很干净。,The room is very clean.,ห้องสะอาดมาก
检查,医生给我检查身体。,The doctor examined my body.,หมอตรวจร่างกายให้ฉัน
检查一下,让医生检查一下吧。,Let the doctor check it out.,ให้หมอตรวจดูหน่อยเถอะ
简单,这道题很简单。,This problem is simple.,โจทย์นี้ง่ายมาก
见面,我们明天见面吧。,Let's meet tomorrow.,พรุ่งนี้เราเจอกันนะ
健康,运动对健康很好。,Exercise is good for health.,การออกกำลังกายดีต่อสุขภาพ
讲,老师讲得很清楚。,The teacher explains very clearly.,ครูอธิบายได้ชัดเจนมาก
讲讲,你给我们讲讲吧。,Please tell us a little about it.,เล่าให้พวกเราฟังหน่อยสิ
角,桌子有四个角。,The table has four corners.,โต๊ะมีสี่มุม
脚,我的脚有点疼。,My foot hurts a little.,เท้าของฉันเจ็บนิดหน่อย
脚下,小狗在我脚下睡觉。,The puppy is sleeping at my feet.,ลูกสุนัขนอนอยู่ที่เท้าของฉัน
叫声,我听到狗的叫声。,I heard the dog's bark.,ฉันได้ยินเสียงหมาเห่า
较,这个比较贵。,This one is relatively expensive.,อันนี้ค่อนข้างแพง
教,他信什么教？,What religion does he believe in?,เขานับถือศาสนาอะไร
接,妈妈去机场接我。,Mom is going to the airport to pick me up.,แม่ไปรับฉันที่สนามบิน
接到,我接到了一个电话。,I received a phone call.,ฉันได้รับโทรศัพท์สายหนึ่ง
接着,他接着讲故事。,He continued telling the story.,เขาเล่าเรื่องต่อไป
街,这条街很热闹。,This street is very lively.,ถนนสายนี้คึกคักมาก
街道,这条街道很热闹。,This street is very lively.,ถนนสายนี้คึกคักมาก
街上,街上有很多人。,There are many people on the street.,บนถนนมีคนเยอะมาก
节目,这个节目很有意思。,This program is very interesting.,รายการนี้น่าสนใจมาก
节目单,请给我一张节目单。,Please give me a program list.,กรุณาให้ใบรายการฉันหนึ่งใบ
节日,春节是中国重要的节日。,Spring Festival is an important Chinese holiday.,ตรุษจีนเป็นเทศกาลสำคัญของจีน
结婚,他们打算明年结婚。,They plan to get married next year.,พวกเขาวางแผนจะแต่งงานกันปีหน้า
结束,比赛已经结束了。,The match has already ended.,การแข่งขันจบลงแล้ว
姐弟,他们是姐弟。,They are older sister and younger brother.,พวกเขาเป็นพี่สาวกับน้องชาย
解,他解开了绳子。,He untied the rope.,เขาแก้เชือกออก
解决,这个问题很难解决。,This problem is hard to solve.,ปัญหานี้แก้ไขได้ยากมาก
解决问题,我们一起解决问题。,Let's solve the problem together.,เรามาแก้ปัญหาด้วยกัน
借,我想跟你借点钱。,I want to borrow some money from you.,ฉันอยากขอยืมเงินคุณสักหน่อย
借给,我把书借给他了。,I lent the book to him.,ฉันให้เขายืมหนังสือไปแล้ว
借回来,他把书借回来了。,He borrowed the book back.,เขายืมหนังสือกลับมาแล้ว
今,从今以后我要努力学习。,"From now on, I will study hard.",ตั้งแต่นี้ไปฉันจะตั้งใจเรียนให้หนัก
今晚,今晚我们一起吃饭。,Let's have dinner together tonight.,คืนนี้เรากินข้าวด้วยกัน
进水,我的鞋子进水了。,My shoes got water in them.,รองเท้าของฉันมีน้ำเข้า
经,我们经过公园。,We pass by the park.,เราเดินผ่านสวนสาธารณะ
经常,他经常迟到。,He is often late.,เขามาสายบ่อยๆ
经过,我每天经过这个公园。,I pass by this park every day.,ฉันเดินผ่านสวนสาธารณะแห่งนี้ทุกวัน
经理,他是我们的经理。,He is our manager.,เขาเป็นผู้จัดการของเรา
久,我等了很久。,I waited for a long time.,ฉันรอมานานมากแล้ว
久远,这段历史很久远。,This history goes back a very long way.,ประวัติศาสตร์ช่วงนี้ผ่านมานานมากแล้ว
酒,他不喜欢喝酒。,He doesn't like drinking alcohol.,เขาไม่ชอบดื่มเหล้า
旧,这件衣服很旧。,This piece of clothing is old.,เสื้อผ้าตัวนี้เก่ามากแล้ว
就让,就让他去吧。,Just let him go.,ปล่อยให้เขาไปเถอะ
就是,这就是我要的答案。,This is exactly the answer I want.,นี่แหละคือคำตอบที่ฉันต้องการ
就要,火车就要到了。,The train will arrive soon.,รถไฟกำลังจะมาถึงแล้ว
举行,学校明天举行比赛。,The school will hold a competition tomorrow.,พรุ่งนี้โรงเรียนจะจัดการแข่งขัน
句,请再说一句。,Please say one more sentence.,กรุณาพูดอีกสักประโยค
句子,这个句子很简单。,This sentence is very simple.,ประโยคนี้ง่ายมาก
决定,我决定去中国。,I've decided to go to China.,ฉันตัดสินใจจะไปจีน
开班,学校开班教汉语。,The school started a class to teach Chinese.,โรงเรียนเปิดชั้นเรียนสอนภาษาจีน
开车,他开车去上班。,He drives to work.,เขาขับรถไปทำงาน
开会,经理正在开会。,The manager is in a meeting.,ผู้จัดการกำลังประชุมอยู่
开了个,他们开了个店。,They opened a shop.,พวกเขาเปิดร้านขึ้นมาร้านหนึ่ง
开门,商店九点开门。,The store opens at nine.,ร้านเปิดตอนเก้าโมง
看不清,我看不清黑板。,I can't see the blackboard clearly.,ฉันมองกระดานดำไม่ชัด
看不清楚,字太小看不清楚。,The text is too small to see clearly.,ตัวหนังสือเล็กเกินไปมองไม่ชัด
看到,我在路上看到他了。,I saw him on the road.,ฉันเห็นเขาระหว่างทาง
看得远,站得高看得远。,Standing higher lets you see farther.,ยืนสูงมองเห็นได้ไกล
看电视,我喜欢看电视。,I like watching TV.,ฉันชอบดูโทรทัศน์
看来,看来要下雨了。,It looks like it's going to rain.,ดูท่าฝนจะตกแล้ว
看起来,他看起来很累。,He looks very tired.,เขาดูเหนื่อยมาก
看清楚,请你看清楚地图。,Please look at the map clearly.,กรุณาดูแผนที่ให้ชัดเจน
看球赛,我们一起看球赛。,Let's watch the ball game together.,เราไปดูการแข่งบอลด้วยกัน
看上去,她看上去很累。,She looks very tired.,เธอดูเหนื่อยมาก
看书,我喜欢在家看书。,I like reading at home.,ฉันชอบอ่านหนังสือที่บ้าน
看一看,让我看一看。,Let me have a look.,ให้ฉันดูหน่อยสิ
考试成绩,他的考试成绩很好。,His exam results are very good.,ผลสอบของเขาดีมาก
可爱,这只小猫真可爱。,This little cat is really cute.,แมวตัวน้อยตัวนี้น่ารักจริงๆ
渴,我很渴，想喝水。,I'm very thirsty and want to drink water.,ฉันกระหายน้ำมาก อยากดื่มน้ำ
客人,家里来了很多客人。,Many guests came to the house.,ที่บ้านมีแขกมาเยอะมาก
空调,房间里有空调。,There's air conditioning in the room.,ในห้องมีเครื่องปรับอากาศ
口渴,我现在很口渴。,I'm very thirsty right now.,ตอนนี้ฉันกระหายน้ำมาก
哭,妹妹一个人在哭。,My little sister is crying alone.,น้องสาวร้องไห้อยู่คนเดียว
裤子,这条裤子太长了。,These pants are too long.,กางเกงตัวนี้ยาวเกินไป
块钱,这本书十块钱。,This book costs ten yuan.,หนังสือเล่มนี้ราคาสิบหยวน
快点儿,你快点儿走。,Hurry up and go.,คุณรีบไปเร็วๆ หน่อย
快好了,晚饭快好了。,Dinner is almost ready.,อาหารเย็นใกล้เสร็จแล้ว
筷子,我用筷子吃饭。,I eat with chopsticks.,ฉันใช้ตะเกียบกินข้าว
来说,对我来说很难。,It's hard for me.,สำหรับฉันแล้วมันยากมาก
蓝,她喜欢蓝色。,She likes blue.,เธอชอบสีฟ้า
蓝色,天空是蓝色的。,The sky is blue.,ท้องฟ้าเป็นสีฟ้า
蓝天,外面是蓝天白云。,"Outside, it's blue sky and white clouds.",ข้างนอกท้องฟ้าสีฟ้าและมีเมฆขาว
老,他家的猫很老了。,His family's cat is very old.,แมวที่บ้านเขาแก่มากแล้ว
老房子,这是一座老房子。,This is an old house.,นี่คือบ้านหลังเก่า
老歌,妈妈喜欢听老歌。,Mom likes listening to old songs.,แม่ชอบฟังเพลงเก่าๆ
老话,这是一句老话。,This is an old saying.,นี่เป็นคำพูดโบราณ
老李,老李是我的邻居。,Old Li is my neighbor.,เหลาหลี่เป็นเพื่อนบ้านของฉัน
老年人,公园里有很多老年人。,There are many elderly people in the park.,ในสวนสาธารณะมีผู้สูงอายุเยอะมาก
老朋友,他是我的老朋友。,He is my old friend.,เขาเป็นเพื่อนเก่าของฉัน
老人,公园里有很多老人。,There are many elderly people in the park.,ในสวนสาธารณะมีผู้สูงอายุเยอะมาก
老王,老王是我同事。,Old Wang is my colleague.,เหลาหวังเป็นเพื่อนร่วมงานของฉัน
乐,他今天很快乐。,He is very happy today.,วันนี้เขามีความสุขมาก
了解,我想了解你。,I want to get to know you.,ฉันอยากทำความรู้จักคุณ
累坏,今天真是累坏了。,I'm really exhausted today.,วันนี้เหนื่อยมากจริงๆ
离开,他明天要离开北京。,He is leaving Beijing tomorrow.,พรุ่งนี้เขาจะออกจากปักกิ่ง
礼物,这是给你的生日礼物。,This is a birthday present for you.,นี่คือของขวัญวันเกิดสำหรับคุณ
李经理,李经理在开会。,Manager Li is in a meeting.,ผู้จัดการหลี่กำลังประชุมอยู่
李先生,李先生是我的老师。,Mr. Li is my teacher.,คุณหลี่เป็นครูของฉัน
李小姐,李小姐是老师。,Miss Li is a teacher.,คุณหลี่เป็นครู
历史,我喜欢历史课。,I like history class.,ฉันชอบวิชาประวัติศาสตร์
脸,他的脸很红。,His face is very red.,หน้าของเขาแดงมาก
脸色,你今天脸色不好。,You don't look well today.,วันนี้สีหน้าคุณดูไม่ดีเลย
练,我每天练汉字。,I practice Chinese characters every day.,ฉันฝึกเขียนตัวอักษรจีนทุกวัน
练习,我每天练习汉语。,I practice Chinese every day.,ฉันฝึกภาษาจีนทุกวัน
练习题,老师给了很多练习题。,The teacher gave a lot of practice questions.,ครูให้แบบฝึกหัดมาเยอะมาก
两包,他买了两包烟。,He bought two packs of cigarettes.,เขาซื้อบุหรี่มาสองซอง
两边,路的两边都是树。,There are trees on both sides of the road.,สองข้างถนนเต็มไปด้วยต้นไม้
两层,这座房子有两层。,This house has two floors.,บ้านหลังนี้มีสองชั้น
两点,现在是两点。,It's two o'clock now.,ตอนนี้สองโมงแล้ว
两个,我要两个苹果。,I want two apples.,ฉันต้องการแอปเปิลสองลูก
两辆车,他家有两辆车。,His family has two cars.,บ้านเขามีรถสองคัน
两年,他学了两年英语。,He studied English for two years.,เขาเรียนภาษาอังกฤษมาสองปี
两三,我有两三个朋友。,I have two or three friends.,ฉันมีเพื่อนสองสามคน
两天,我休息了两天。,I rested for two days.,ฉันพักผ่อนไปสองวัน
两万人,这座城市有两万人。,This city has twenty thousand people.,เมืองนี้มีประชากรสองหมื่นคน
两只,她养了两只猫。,She keeps two cats.,เธอเลี้ยงแมวสองตัว
亮,房间里很亮。,The room is very bright.,ในห้องสว่างมาก
辆,他买了一辆车。,He bought a car.,เขาซื้อรถมาหนึ่งคัน
辆车,他买了一辆车。,He bought a car.,เขาซื้อรถมาหนึ่งคัน
聊聊天,我们聊聊天吧。,Let's chat for a bit.,เรามาคุยกันหน่อยเถอะ
聊天儿,我们喜欢聊天儿。,We like chatting.,เราชอบคุยกัน
邻居,他是我的邻居。,He is my neighbor.,เขาเป็นเพื่อนบ้านของฉัน
零钱,我没有零钱了。,I don't have any small change.,ฉันไม่มีเงินเศษแล้ว
留学,她去美国留学。,She went to study abroad in the US.,เธอไปเรียนต่อที่อเมริกา
留学生,他是一名留学生。,He is an international student.,เขาเป็นนักเรียนต่างชาติ
楼梯,小心楼梯很滑。,"Be careful, the stairs are slippery.",ระวังบันไดลื่นนะ
楼下,他在楼下等你。,He's waiting for you downstairs.,เขารออยู่ชั้นล่าง
绿,树叶是绿色的。,The leaves are green.,ใบไม้เป็นสีเขียว
绿草,公园里有绿草。,There is green grass in the park.,ในสวนสาธารณะมีหญ้าเขียว
绿茶,我每天喝绿茶。,I drink green tea every day.,ฉันดื่มชาเขียวทุกวัน
绿色,我喜欢绿色的衣服。,I like green clothes.,ฉันชอบเสื้อผ้าสีเขียว
妈,妈，我回来了。,"Mom, I'm home.",แม่ครับ ผมกลับมาแล้ว
马,他骑着一匹马。,He is riding a horse.,เขาขี่ม้าอยู่
马上,我马上就到。,I'll be there right away.,ฉันจะไปถึงเดี๋ยวนี้
买车,他打算买车。,He plans to buy a car.,เขาวางแผนจะซื้อรถ
买点儿,我去买点儿水果。,I'm going to buy some fruit.,ฉันจะไปซื้อผลไม้สักหน่อย
买卖,他做买卖多年了。,He has been in business for many years.,เขาทำธุรกิจค้าขายมาหลายปีแล้ว
买票,我们去买票吧。,Let's go buy tickets.,เราไปซื้อตั๋วกันเถอะ
卖房子,他打算卖房子。,He plans to sell his house.,เขาวางแผนจะขายบ้าน
满意,老师对我很满意。,The teacher is very satisfied with me.,ครูพอใจในตัวฉันมาก
慢点儿,你说话慢点儿。,Speak a bit slower.,คุณพูดช้าลงหน่อย
慢慢,请你慢慢说。,Please speak slowly.,กรุณาพูดช้าๆ
慢慢来,别着急，慢慢来。,"Don't rush, take your time.",อย่ารีบร้อน ค่อยๆ ทำ
忙不过来,我最近忙不过来。,I've had more than I can handle lately.,ช่วงนี้ฉันยุ่งจนทำไม่ทัน
帽子,他戴着一顶红帽子。,He is wearing a red hat.,เขาสวมหมวกสีแดง
没人接,电话没人接。,No one answered the phone.,ไม่มีใครรับโทรศัพท์
没什么,没什么好担心的。,There's nothing to worry about.,ไม่มีอะไรต้องกังวล
没事,这真的没事。,This really doesn't matter.,เรื่องนี้ไม่เป็นไรจริงๆ
没想到,我没想到他会来。,I didn't expect him to come.,ฉันไม่คิดว่าเขาจะมา
每次,每次见面都很开心。,I'm happy every time we meet.,ทุกครั้งที่เจอกันมีความสุขเสมอ
每个,每个人都来了。,Everyone came.,ทุกคนมากันหมดแล้ว
每年,我们每年都去旅行。,We travel every year.,เราไปเที่ยวทุกปี
每天,我每天都跑步。,I run every day.,ฉันวิ่งออกกำลังกายทุกวัน
每天晚上,我每天晚上看书。,I read books every evening.,ฉันอ่านหนังสือทุกคืน
门口,他在门口等我。,He is waiting for me at the doorway.,เขารอฉันอยู่ที่ประตู
门票,门票多少钱？,How much is the ticket?,ตั๋วเข้าราคาเท่าไหร่
门前,门前有一棵树。,There's a tree in front of the door.,หน้าประตูมีต้นไม้อยู่ต้นหนึ่ง
米,这张桌子长两米。,This table is two meters long.,โต๊ะตัวนี้ยาวสองเมตร
面包,我早饭吃面包。,I eat bread for breakfast.,ฉันกินขนมปังเป็นอาหารเช้า
面前,老师站在我们面前。,The teacher stands in front of us.,ครูยืนอยู่ตรงหน้าเรา
面试,明天我要去面试。,Tomorrow I have a job interview.,พรุ่งนี้ฉันต้องไปสัมภาษณ์งาน
名单,老师有学生名单。,The teacher has a list of students' names.,ครูมีรายชื่อนักเรียน
名人,他是一位名人。,He is a celebrity.,เขาเป็นคนดัง
明,星星很明亮。,The stars are very bright.,ดวงดาวสว่างไสวมาก
明白,我明白你的意思。,I understand what you mean.,ฉันเข้าใจสิ่งที่คุณหมายถึง
目,她的目光很温柔。,Her gaze is very gentle.,สายตาของเธออ่อนโยนมาก
拿,请帮我拿一下书。,Please help me get the book.,ช่วยหยิบหนังสือให้ฉันหน่อย
拿出,他从包里拿出书。,He took a book out of his bag.,เขาหยิบหนังสือออกมาจากกระเป๋า
拿回去,请把这些拿回去。,Please take these back.,กรุณาเอาสิ่งเหล่านี้กลับไปด้วย
哪些,你喜欢哪些水果？,Which fruits do you like?,คุณชอบผลไม้ชนิดไหนบ้าง
那本书,那本书很有意思。,That book is very interesting.,หนังสือเล่มนั้นน่าสนใจมาก
那件事,那件事我知道了。,I know about that matter.,เรื่องนั้นฉันรู้แล้ว
那里,我们去那里看看。,Let's go take a look there.,เราไปดูที่นั่นกันเถอะ
那么,天气怎么那么冷？,Why is the weather so cold?,ทำไมอากาศถึงหนาวขนาดนั้น
那时,那时我还很小。,I was still very young then.,ตอนนั้นฉันยังเด็กมาก
那双,那双鞋是我的。,That pair of shoes is mine.,รองเท้าคู่นั้นเป็นของฉัน
那天,那天我很高兴。,I was very happy that day.,วันนั้นฉันมีความสุขมาก
那条,那条河很长。,That river is very long.,แม่น้ำสายนั้นยาวมาก
那位,那位老师很好。,That teacher is very good.,ครูท่านนั้นดีมาก
那种,我不喜欢那种颜色。,I don't like that kind of color.,ฉันไม่ชอบสีแบบนั้น
奶奶,奶奶今年七十岁了。,Grandma is seventy years old this year.,ปีนี้คุณยายอายุเจ็ดสิบปีแล้ว
南,他从南边来。,He came from the south.,เขามาจากทางใต้
南方,我家在南方。,My home is in the south.,บ้านฉันอยู่ทางภาคใต้
南京,我去过南京。,I have been to Nanjing.,ฉันเคยไปหนานจิงมาแล้ว
南京旅游,我们去南京旅游。,We went to Nanjing for a trip.,เราไปเที่ยวหนานจิง
难,这个问题很难。,This question is very difficult.,คำถามนี้ยากมาก
难过,听到这个消息她很难过。,She felt very sad when she heard the news.,พอได้ยินข่าวนี้เธอเสียใจมาก
难忘,那是难忘的一天。,That was an unforgettable day.,วันนั้นเป็นวันที่ลืมไม่ลง
你好,他对我说你好。,He said hello to me.,เขาทักทายฉันว่าสวัสดี
你家,你家在哪儿？,Where is your home?,บ้านคุณอยู่ที่ไหน
年级,他是三年级学生。,He is a third-grade student.,เขาเป็นนักเรียนชั้นปีที่สาม
年票,我买了一张年票。,I bought an annual pass.,ฉันซื้อบัตรผ่านรายปีมาหนึ่งใบ
年轻,她看起来很年轻。,She looks very young.,เธอดูอ่อนเยาว์มาก
年轻人,很多年轻人喜欢跑步。,Many young people like running.,คนหนุ่มสาวหลายคนชอบวิ่งออกกำลังกาย
鸟,树上有一只鸟。,There is a bird in the tree.,บนต้นไม้มีนกอยู่ตัวหนึ่ง
您好,您好，请问怎么走？,"Hello, excuse me, how do I get there?",สวัสดีค่ะ ขอถามหน่อยไปทางไหน
努力,他学习很努力。,He studies very hard.,เขาตั้งใจเรียนมาก
爬,他喜欢爬山。,He likes climbing mountains.,เขาชอบปีนเขา
爬山,周末我们去爬山。,We're going hiking this weekend.,สุดสัปดาห์นี้เราจะไปปีนเขา
怕,小孩子怕黑。,The child is afraid of the dark.,เด็กๆ กลัวความมืด
盘子,桌子上有一个盘子。,There is a plate on the table.,บนโต๊ะมีจานอยู่ใบหนึ่ง
胖,他比以前胖了。,He is fatter than before.,เขาอ้วนขึ้นกว่าเมื่อก่อน
跑跑步,我们去跑跑步吧。,Let's go for a run.,เราไปวิ่งออกกำลังกายกันเถอะ
朋友家,我在朋友家吃饭。,I'm eating at my friend's house.,ฉันกินข้าวที่บ้านเพื่อน
皮鞋,他买了新皮鞋。,He bought new leather shoes.,เขาซื้อรองเท้าหนังคู่ใหม่
啤酒,爸爸喜欢喝啤酒。,Dad likes to drink beer.,พ่อชอบดื่มเบียร์
啤酒节,我们去参加啤酒节。,We're going to the Beer Festival.,เราจะไปร่วมงานเทศกาลเบียร์
苹,我想吃一个苹果。,I want to eat an apple.,ฉันอยากกินแอปเปิลสักลูก
苹果汁,他喜欢喝苹果汁。,He likes to drink apple juice.,เขาชอบดื่มน้ำแอปเปิล
瓶,桌上有一瓶水。,There's a bottle of water on the table.,บนโต๊ะมีน้ำอยู่หนึ่งขวด
葡萄,我喜欢吃葡萄。,I like eating grapes.,ฉันชอบกินองุ่น
普通,他是一个普通人。,He is an ordinary person.,เขาเป็นคนธรรมดา
普通话,他普通话说得很好。,He speaks Mandarin very well.,เขาพูดภาษาจีนกลางได้ดีมาก
七八年,他学了七八年汉语。,He has studied Chinese for seven or eight years.,เขาเรียนภาษาจีนมาเจ็ดแปดปี
七个,桌上有七个苹果。,There are seven apples on the table.,บนโต๊ะมีแอปเปิลเจ็ดลูก
其实,其实我不喜欢咖啡。,"Actually, I don't like coffee.",จริงๆ แล้วฉันไม่ชอบกาแฟ
其他,我没有其他问题了。,I don't have any other questions.,ฉันไม่มีคำถามอื่นแล้ว
奇怪,这件事很奇怪。,This matter is very strange.,เรื่องนี้แปลกมาก
骑,他每天骑车上班。,He rides a bike to work every day.,เขาปั่นจักรยานไปทำงานทุกวัน
骑车,我每天骑车上班。,I ride a bike to work every day.,ฉันปั่นจักรยานไปทำงานทุกวัน
骑马,我们在草原上骑马。,We rode horses on the grassland.,เราขี่ม้าบนทุ่งหญ้า
起飞,飞机马上要起飞了。,The plane is about to take off.,เครื่องบินกำลังจะออกเดินทางแล้ว
起风,外面起风了。,It's getting windy outside.,ข้างนอกลมเริ่มพัดแล้ว
千种,这里有千种商品。,There are a thousand kinds of goods here.,ที่นี่มีสินค้านับพันชนิด
铅笔画,这是一张铅笔画。,This is a pencil drawing.,นี่คือภาพวาดดินสอ
前来,他前来看我们。,He came to see us.,เขามาเยี่ยมเรา
前两天,前两天下雨了。,It rained a couple of days ago.,เมื่อสองวันก่อนฝนตก
前年,我前年去过中国。,I went to China the year before last.,ฉันเคยไปจีนเมื่อสองปีก่อน
钱包,我的钱包丢了。,I lost my wallet.,กระเป๋าเงินของฉันหายไป
清楚,老师说得很清楚。,The teacher explained very clearly.,ครูพูดได้ชัดเจนมาก
请假,他今天请假了。,He took a day off today.,วันนี้เขาลาหยุด
请问,请问洗手间在哪儿？,"Excuse me, where is the restroom?",ขอถามหน่อยห้องน้ำอยู่ที่ไหน
秋季,秋季的树叶很漂亮。,The autumn leaves are very beautiful.,ใบไม้ในฤดูใบไม้ร่วงสวยงามมาก
秋天,秋天的天气很凉快。,The weather in autumn is nice and cool.,อากาศฤดูใบไม้ร่วงเย็นสบายมาก
裙子,她穿了一条新裙子。,She wore a new skirt.,เธอใส่กระโปรงตัวใหม่
然后,先吃饭然后睡觉。,"Eat first, then go to sleep.",กินข้าวก่อนแล้วค่อยไปนอน
热茶,冬天喝热茶很舒服。,Drinking hot tea in winter feels great.,ดื่มชาร้อนในหน้าหนาวสบายมาก
热情,服务员对客人很热情。,The waiter is very warm to guests.,พนักงานเสิร์ฟใจดีกับลูกค้ามาก
热水,请给我一杯热水。,Please give me a cup of hot water.,กรุณาให้น้ำร้อนฉันหนึ่งแก้ว
认,我认识他很多年了。,I've known him for many years.,ฉันรู้จักเขามาหลายปีแล้ว
认出来,我一眼就认出来了。,I recognized him at a glance.,ฉันจำเขาได้ทันทีที่เห็น
认为,我认为这个办法很好。,I think this method is good.,ฉันคิดว่าวิธีนี้ดี
认真,他学习很认真。,He studies very diligently.,เขาเรียนอย่างตั้งใจมาก
认真完成,他认真完成了作业。,He carefully finished his homework.,เขาทำการบ้านเสร็จอย่างตั้งใจ
认真做事,他认真做事。,He works conscientiously.,เขาทำงานอย่างตั้งใจ
容易,这个问题很容易。,This problem is easy.,คำถามนี้ง่ายมาก
如果,如果下雨我们就不去。,"If it rains, we won't go.",ถ้าฝนตกเราจะไม่ไป
三点,现在是三点。,It's three o'clock now.,ตอนนี้สามโมงแล้ว
三分钟,请等我三分钟。,Please wait three minutes for me.,กรุณารอฉันสามนาที
三个,我买了三个苹果。,I bought three apples.,ฉันซื้อแอปเปิลมาสามลูก
伞,下雨了，请带伞。,"It's raining, please bring an umbrella.",ฝนตกแล้ว กรุณาพกร่มไปด้วย
色,我喜欢红色。,I like the color red.,ฉันชอบสีแดง
山,那座山很高。,That mountain is very tall.,ภูเขาลูกนั้นสูงมาก
山路,这条山路很难走。,This mountain road is hard to walk.,ทางขึ้นเขาสายนี้เดินยากมาก
山上,山上有很多树。,There are many trees on the mountain.,บนภูเขามีต้นไม้เยอะมาก
商场,我们去商场买衣服。,We went to the mall to buy clothes.,เราไปห้างสรรพสินค้าเพื่อซื้อเสื้อผ้า
上边,书在桌子上边。,The book is on top of the table.,หนังสืออยู่บนโต๊ะ
上次,上次我们去了公园。,Last time we went to the park.,ครั้งก่อนเราไปสวนสาธารณะ
上个星期,上个星期我很忙。,Last week I was very busy.,สัปดาห์ที่แล้วฉันยุ่งมาก
上个月,上个月我去了上海。,Last month I went to Shanghai.,เดือนที่แล้วฉันไปเซี่ยงไฮ้
上楼,请跟我上楼吧。,Please come upstairs with me.,กรุณาขึ้นชั้นบนไปกับฉัน
上网,我每天上网学习。,I go online to study every day.,ฉันเข้าอินเทอร์เน็ตเรียนหนังสือทุกวัน
上下,他五十岁上下。,He is about fifty years old.,เขาอายุประมาณห้าสิบปี
上一年,上一年他去了美国。,Last year he went to America.,ปีที่แล้วเขาไปอเมริกา
上周末,上周末我在家休息。,Last weekend I rested at home.,สุดสัปดาห์ที่แล้วฉันพักผ่อนอยู่บ้าน
少见,这种情况很少见。,This kind of situation is rare.,สถานการณ์แบบนี้พบได้น้อยมาก
身,他身体很好。,He is in good health.,เขาสุขภาพดีมาก
什么样,你想要什么样的手机？,What kind of phone do you want?,คุณอยากได้โทรศัพท์แบบไหน
生气,你别再生气了。,Don't be angry anymore.,คุณอย่าโกรธอีกเลย
生日礼物,这是我的生日礼物。,This is my birthday present.,นี่คือของขวัญวันเกิดของฉัน
声音,她的声音很好听。,Her voice sounds very nice.,เสียงของเธอไพเราะมาก
师生,师生们一起吃饭。,The teachers and students eat together.,ครูและนักเรียนกินข้าวด้วยกัน
十年,他们结婚十年了。,They have been married for ten years.,พวกเขาแต่งงานกันมาสิบปีแล้ว
十五,我今年十五岁。,I am fifteen years old this year.,ปีนี้ฉันอายุสิบห้าปี
使,这个消息使她很高兴。,This news made her very happy.,ข่าวนี้ทำให้เธอดีใจมาก
世界,我想去看看世界。,I want to go see the world.,ฉันอยากไปดูโลกกว้าง
市,这是一座大城市。,This is a big city.,นี่คือเมืองใหญ่แห่งหนึ่ง
事后,事后他很后悔。,"Afterwards, he regretted it a lot.",หลังจากนั้นเขาก็เสียใจมาก
试试,你可以试试。,You can give it a try.,คุณลองดูก็ได้
是不是,你是不是学生？,Are you a student or not?,คุณเป็นนักเรียนใช่ไหม
是因为,他迟到是因为堵车。,He was late because of traffic.,เขามาสายเพราะรถติด
手,他举起了手。,He raised his hand.,เขายกมือขึ้น
手中,他手中拿着一本书。,He is holding a book in his hand.,เขาถือหนังสืออยู่ในมือ
瘦,她最近瘦了很多。,She has gotten a lot thinner recently.,ช่วงนี้เธอผอมลงไปเยอะ
书本,学生要爱护书本。,Students should take good care of their books.,นักเรียนต้องรักษาหนังสือให้ดี
书桌下,猫躲在书桌下。,The cat is hiding under the desk.,แมวหลบอยู่ใต้โต๊ะหนังสือ
