orig_row,hanzi,sentence,en,th
2111,兔子,兔子喜欢吃胡萝卜。,Rabbits like to eat carrots.,กระต่ายชอบกินแครอท
2116,实现,他终于实现了梦想。,He finally achieved his dream.,ในที่สุดเขาก็ทำความฝันให้เป็นจริงได้
2118,缺乏,这里缺乏水资源。,This place lacks water resources.,ที่นี่ขาดแคลนทรัพยากรน้ำ
2134,富翁,他是这个城市的富翁。,He is a rich man in this city.,เขาเป็นเศรษฐีของเมืองนี้
2141,养,她在家养了三只猫。,She raises three cats at home.,เธอเลี้ยงแมวสามตัวที่บ้าน
2147,地区,这个地区很少下雨。,It rarely rains in this region.,เขตนี้ฝนตกน้อยมาก
2156,删除,我删除了这张照片。,I deleted this photo.,ฉันลบรูปนี้ทิ้งไปแล้ว
2168,控制,他很难控制自己的情绪。,He finds it hard to control his emotions.,เขาควบคุมอารมณ์ตัวเองได้ยาก
2170,充满,他心里充满了希望。,His heart is full of hope.,หัวใจของเขาเต็มไปด้วยความหวัง
2179,规模,这家公司规模很大。,This company is large in scale.,บริษัทนี้มีขนาดใหญ่มาก
2182,挑战,他喜欢挑战自己。,He likes to challenge himself.,เขาชอบท้าทายตัวเอง
2202,根本,这是问题的根本原因。,This is the fundamental cause of the problem.,นี่คือต้นเหตุที่แท้จริงของปัญหา
2210,满足,这个答案满足了他的好奇心。,This answer satisfied his curiosity.,คำตอบนี้เติมเต็มความอยากรู้อยากเห็นของเขา
2213,造成,大雨造成了交通堵塞。,The heavy rain caused a traffic jam.,ฝนตกหนักทำให้รถติด
2246,作为,他工作认真，很有作为。,He works conscientiously and has accomplished a lot.,เขาทำงานอย่างจริงจัง และมีผลงานโดดเด่น
2247,入,请大家依次入场。,"Please enter the venue in order, everyone.",ขอให้ทุกคนทยอยเข้างานตามลำดับ
2252,珍惜,我们要珍惜时间。,We should treasure our time.,เราควรเห็นคุณค่าของเวลา
2255,营养,这种食物很有营养。,This food is very nutritious.,อาหารชนิดนี้มีสารอาหารมาก
2257,面积,这个房间面积很大。,This room has a large area.,ห้องนี้มีพื้นที่กว้างมาก
2275,气氛,教室里气氛很好。,The atmosphere in the classroom is great.,บรรยากาศในห้องเรียนดีมาก
2276,消费,现在的人喜欢网上消费。,People nowadays like to spend money online.,คนสมัยนี้ชอบใช้จ่ายทางออนไลน์
2277,灵活,他的想法很灵活。,His thinking is very flexible.,ความคิดของเขายืดหยุ่นมาก
2290,撒谎,你不要对我撒谎。,Don't lie to me.,อย่าโกหกฉันนะ
2299,下载,我下载了这个软件。,I downloaded this software.,ฉันดาวน์โหลดซอฟต์แวร์นี้แล้ว
2310,阻止,警察阻止了他们。,The police stopped them.,ตำรวจขัดขวางพวกเขาไว้
2313,从前,从前这里是农田。,This place used to be farmland.,เมื่อก่อนที่นี่เคยเป็นนา
2317,委屈,她觉得很委屈。,She felt wronged.,เธอรู้สึกน้อยใจ
2323,破坏,台风破坏了房屋。,The typhoon damaged the houses.,พายุไต้ฝุ่นทำลายบ้านเรือน
2328,风格,这幅画风格独特。,This painting has a unique style.,ภาพวาดนี้มีสไตล์ที่เป็นเอกลักษณ์
2330,一项,这是一项新任务。,This is a new task.,นี่คือภารกิจใหม่อย่างหนึ่ง
2333,令人,这个消息令人高兴。,This news is delightful.,ข่าวนี้ทำให้คนดีใจ
2349,粮食,农民种植粮食。,Farmers grow grain.,ชาวนาปลูกธัญพืช
2357,心理学家,他是一位心理学家。,He is a psychologist.,เขาเป็นนักจิตวิทยา
2379,不如,今天不如昨天热。,Today isn't as hot as yesterday.,วันนี้ไม่ร้อนเท่าเมื่อวาน
2387,威胁,他威胁要离开。,He threatened to leave.,เขาขู่ว่าจะจากไป
2392,确定,这件事还不确定。,This matter isn't certain yet.,เรื่องนี้ยังไม่แน่นอน
2394,谦虚,他为人很谦虚。,He is a modest person.,เขาเป็นคนถ่อมตัว
2404,促进,运动促进健康。,Exercise promotes health.,การออกกำลังกายส่งเสริมสุขภาพ
2412,声,他喊了一声。,He gave a shout.,เขาร้องขึ้นมาหนึ่งเสียง
2422,抓,猫抓住了老鼠。,The cat caught the mouse.,แมวจับหนูได้
2435,达,山顶高达三千米。,The mountain peak reaches as high as three thousand meters.,ยอดเขาสูงถึงสามพันเมตร
2439,不解,大家对他的决定很不解。,Everyone is puzzled by his decision.,ทุกคนงุนงงกับการตัดสินใจของเขา
2442,传来,远处传来一阵歌声。,A burst of singing came from the distance.,มีเสียงเพลงลอยมาจากที่ไกลๆ
2459,偶然,我偶然遇见了老朋友。,I ran into an old friend by chance.,ฉันบังเอิญเจอเพื่อนเก่า
2461,女士,这位女士是我的老师。,This lady is my teacher.,สุภาพสตรีท่านนี้เป็นครูของฉัน
2466,草原,草原上开满了野花。,The grassland is full of blooming wildflowers.,บนทุ่งหญ้าเต็มไปด้วยดอกไม้ป่าบานสะพรั่ง
2471,夏眠,有些动物会夏眠避暑。,Some animals aestivate to escape the summer heat.,สัตว์บางชนิดจำศีลหน้าร้อนเพื่อหนีความร้อน
2482,人员,工作人员正在忙碌。,The staff members are busy working.,เจ้าหน้าที่กำลังง่วนอยู่กับงาน
2489,制作,她自己制作蛋糕。,She makes cakes herself.,เธอทำเค้กเอง
2491,力量,团结就是力量。,Unity is strength.,ความสามัคคีคือพลัง
2499,大加,老师对他大加表扬。,The teacher praised him greatly.,ครูชื่นชมเขาอย่างมากมาย
2500,安装,他刚安装了新软件。,He just installed new software.,เขาเพิ่งติดตั้งซอฟต์แวร์ใหม่
2512,担任,她担任这个部门的经理。,She serves as the manager of this department.,เธอรับตำแหน่งเป็นผู้จัดการแผนกนี้
2531,给予,老师给予我们很大帮助。,The teacher gave us great help.,อาจารย์ให้ความช่วยเหลือเราอย่างมาก
2538,适当,请选择适当的时间见面。,Please choose an appropriate time to meet.,ช่วยเลือกเวลาที่เหมาะสมมาเจอกันนะ
2541,避免,我们要避免犯同样的错误。,We must avoid making the same mistake.,เราต้องหลีกเลี่ยงไม่ทำผิดพลาดแบบเดิม
2550,主持人,她是这个节目的主持人。,She is the host of this show.,เธอเป็นพิธีกรของรายการนี้
2556,后者,两个选择中我更喜欢后者。,"Of the two choices, I prefer the latter.",ในสองตัวเลือกนี้ ฉันชอบอันหลังมากกว่า
2563,小姑娘,那个小姑娘很可爱。,That little girl is very cute.,เด็กผู้หญิงคนนั้นน่ารักมาก
2564,少数,只有少数人同意这个计划。,Only a small number of people agreed to this plan.,มีคนส่วนน้อยเท่านั้นที่เห็นด้วยกับแผนนี้
2575,沟通,父母要和孩子多沟通。,Parents should communicate more with their children.,พ่อแม่ควรพูดคุยสื่อสารกับลูกให้มากขึ้น
2576,牌,门口挂着一块牌。,A sign hangs at the entrance.,มีป้ายแขวนอยู่ที่ประตูทางเข้า
2578,立即,请立即离开这里。,Please leave here immediately.,กรุณาออกไปจากที่นี่ทันที
2583,行业,他从事餐饮行业。,He works in the catering industry.,เขาทำงานในธุรกิจร้านอาหาร
2598,书画,他从小喜欢书画。,He has liked painting and calligraphy since childhood.,เขาชอบงานเขียนอักษรและภาพวาดมาตั้งแต่เด็ก
2603,墙壁,墙壁上挂着照片。,Photos hang on the wall.,มีรูปถ่ายแขวนอยู่บนผนัง
2604,壶,桌子上有一壶茶。,There is a pot of tea on the table.,บนโต๊ะมีน้ำชาหนึ่งกา
2612,快餐店,我们在快餐店吃饭。,We ate at the fast food shop.,เรากินข้าวกันที่ร้านอาหารจานด่วน
2613,恨,他很恨那个坏人。,He hates that bad person very much.,เขาเกลียดคนเลวคนนั้นมาก
2621,记号,他在书上做了记号。,He made a mark in the book.,เขาทำเครื่องหมายไว้ในหนังสือ
2626,陛下,大臣对陛下说话。,The minister spoke to His Majesty.,เสนาบดีกราบทูลต่อฝ่าบาท
2631,冰雪节,我们去看冰雪节。,We went to see the ice and snow festival.,เราไปดูเทศกาลน้ำแข็งและหิมะกัน
2634,商人,他是一个成功的商人。,He is a successful businessman.,เขาเป็นนักธุรกิจที่ประสบความสำเร็จ
2637,城门,士兵守着城门。,The soldiers guard the city gate.,ทหารเฝ้าประตูเมือง
2642,戒指,她买了一枚戒指。,She bought a ring.,เธอซื้อแหวนมาวงหนึ่ง
2647,泡馍,西安的泡馍很有名。,Xi'an's paomo (meat and bread soup) is very famous.,เปาโหม (ซุปเนื้อกับขนมปัง) ของซีอานขึ้นชื่อมาก
2658,铁树开花,这件事像铁树开花。,This matter is as rare as an iron tree blooming.,เรื่องนี้เกิดขึ้นยากราวกับต้นเหล็กออกดอก
2667,不足,睡眠不足影响健康。,Insufficient sleep affects health.,การนอนไม่เพียงพอส่งผลต่อสุขภาพ
2681,例子,老师举了一个例子。,The teacher gave an example.,อาจารย์ยกตัวอย่างมาหนึ่งอย่าง
2699,反复,他反复检查了作业。,He checked his homework repeatedly.,เขาตรวจการบ้านซ้ำแล้วซ้ำอีก
2708,命,医生救了他的命。,The doctor saved his life.,หมอช่วยชีวิตเขาเอาไว้
2714,夏令营,孩子们参加了夏令营。,The children attended a summer camp.,เด็กๆ เข้าร่วมค่ายฤดูร้อน
2727,应付,他很会应付困难。,He is good at dealing with difficulties.,เขาเก่งเรื่องรับมือกับความยากลำบาก
2729,形势,现在形势很复杂。,The situation now is very complicated.,ตอนนี้สถานการณ์ซับซ้อนมาก
2732,总共,这些东西总共多少钱？,How much do these things cost altogether?,ของพวกนี้ทั้งหมดราคาเท่าไหร่?
2741,打败,我们打败了对手。,We defeated our opponent.,เราเอาชนะคู่แข่งได้
2743,指出,老师指出了错误。,The teacher pointed out the mistake.,ครูชี้ให้เห็นข้อผิดพลาด
2744,指导,老师指导我们写作。,The teacher guides us in writing.,ครูชี้แนะการเขียนให้พวกเรา
2745,挡住,大树挡住了阳光。,The big tree blocked the sunlight.,ต้นไม้ใหญ่บังแสงแดด
2751,擅长,她擅长画画。,She is good at drawing.,เธอถนัดวาดรูป
2757,本领,他有很大的本领。,He has great abilities.,เขามีความสามารถมาก
2763,毛病,这台电脑有点毛病。,This computer has a bit of a problem.,คอมพิวเตอร์เครื่องนี้มีปัญหานิดหน่อย
2764,毛笔,爷爷用毛笔写字。,Grandpa writes with a writing brush.,ปู่เขียนหนังสือด้วยพู่กัน
2768,清淡,医生让我吃清淡的食物。,The doctor told me to eat light food.,หมอให้ฉันกินอาหารรสจืด
2772,特色,这道菜很有特色。,This dish has a lot of character.,อาหารจานนี้มีเอกลักษณ์มาก
2774,独立,孩子应该学会独立。,Children should learn to be independent.,เด็กควรหัดพึ่งพาตัวเอง
2787,编辑,她的工作是编辑杂志。,Her job is editing magazines.,งานของเธอคือเป็นบรรณาธิการนิตยสาร
2789,能干,她是个很能干的员工。,She is a very capable employee.,เธอเป็นพนักงานที่เก่งมาก
2794,营养成分,请看看包装上的营养成分。,Please look at the nutritional content on the package.,ลองดูส่วนประกอบทางโภชนาการบนบรรจุภัณฑ์สิ
2796,表明,这个结果表明他是对的。,This result shows that he is right.,ผลลัพธ์นี้แสดงให้เห็นว่าเขาถูกต้อง
2798,计算,请帮我计算一下总数。,Please help me calculate the total.,ช่วยคำนวณยอดรวมให้หน่อย
2803,豪华,他们住在一家豪华酒店。,They are staying at a luxurious hotel.,พวกเขาพักอยู่ที่โรงแรมหรูหรา
2814,辣椒,这道菜放了很多辣椒。,This dish has a lot of chili in it.,อาหารจานนี้ใส่พริกเยอะมาก
2818,逃跑,小偷看到警察就逃跑了。,The thief ran away when he saw the police.,พอโจรเห็นตำรวจก็วิ่งหนีไป
2822,闻到,我闻到了饭的香味。,I smelled the fragrance of the food.,ฉันได้กลิ่นหอมของอาหาร
2828,颗,桌上有一颗糖。,There's a piece of candy on the table.,บนโต๊ะมีลูกอมเม็ดหนึ่ง
2832,一笔,他赚了一笔钱。,He earned a sum of money.,เขาหาเงินได้ก้อนหนึ่ง
2852,制度,这个公司的制度很严格。,This company's system is very strict.,กฎระเบียบของบริษัทนี้เข้มงวดมาก
2853,刺激,辣的食物刺激他的肠胃。,Spicy food irritates his stomach.,อาหารเผ็ดระคายเคืองกระเพาะของเขา
2863,围,士兵们围着城堡。,The soldiers surrounded the castle.,เหล่าทหารล้อมรอบปราสาท
2867,大臣,大臣向皇帝汇报。,The minister reported to the emperor.,เสนาบดีรายงานต่อฮ่องเต้
2883,接触,我们很少接触。,We rarely have contact.,เราไม่ค่อยได้ติดต่อกัน
2887,日常生活,手机改变了日常生活。,Phones have changed daily life.,โทรศัพท์มือถือเปลี่ยนชีวิตประจำวันไป
2892,概念,这是一个新概念。,This is a new concept.,นี่เป็นแนวคิดใหม่
2901,独特,她的想法很独特。,Her ideas are very unique.,ความคิดของเธอมีเอกลักษณ์ไม่เหมือนใคร
2925,过于,你过于紧张了。,You're too nervous.,เธอตื่นเต้นเกินไป
2946,大师,他是武术大师。,He is a martial arts master.,เขาเป็นปรมาจารย์ศิลปะการต่อสู้
2952,层次,这篇文章层次很清楚。,This essay's structure is very clear.,บทความนี้มีลำดับชั้นชัดเจน
2988,肉类,他不喜欢吃肉类。,He doesn't like eating meat.,เขาไม่ชอบกินเนื้อสัตว์
2993,装进去,快把行李装进去！,Hurry and put the luggage inside!,รีบเอากระเป๋าใส่เข้าไปเร็ว!
2998,遗忘,往事渐渐被遗忘。,The past was gradually forgotten.,เรื่องราวในอดีตค่อยๆ ถูกลืมเลือน
3007,所,这所大学很有名。,This university is very famous.,มหาวิทยาลัยแห่งนี้มีชื่อเสียงมาก
3011,第,这是第一名。,This is the first place.,นี่คือที่หนึ่ง
3022,金鱼,我养了一条金鱼。,I keep a goldfish.,ฉันเลี้ยงปลาทองไว้ตัวหนึ่ง
3056,母猴,这是一只母猴。,This is a female monkey.,นี่คือลิงตัวเมีย
3058,调节,请调节空调温度。,Please adjust the air conditioner's temperature.,ช่วยปรับอุณหภูมิแอร์หน่อย
3072,园林,这座园林非常美丽。,This garden is very beautiful.,สวนแห่งนี้สวยงามมาก
3075,生长素,生长素能促进生长。,Auxin can promote growth.,ออกซินช่วยกระตุ้นการเจริญเติบโต
3076,商家,这家商家服务很好。,This merchant provides good service.,ร้านค้าเจ้านี้บริการดีมาก
3080,人才,公司需要更多人才。,The company needs more talented people.,บริษัทต้องการคนเก่งเพิ่มขึ้น
3086,疾病,疾病影响人的健康。,Disease affects people's health.,โรคภัยส่งผลต่อสุขภาพของคน
3089,幅,墙上挂着一幅画。,A painting hangs on the wall.,บนผนังแขวนภาพวาดอยู่หนึ่งภาพ
3090,分子,知识分子应该多读书。,Intellectuals should read more.,ปัญญาชนควรอ่านหนังสือให้มากขึ้น
3114,自由,每个人都渴望自由。,Everyone longs for freedom.,ทุกคนต่างโหยหาอิสรภาพ
3118,大都,学生大都按时到校。,Students mostly arrive at school on time.,นักเรียนส่วนใหญ่มาโรงเรียนตรงเวลา
3119,患者,医生正在治疗患者。,The doctor is treating the patient.,หมอกำลังรักษาคนไข้
3126,诊断,医生诊断他得了感冒。,The doctor diagnosed him with a cold.,หมอวินิจฉัยว่าเขาเป็นหวัด
3128,助,朋友帮助我搬家。,My friend helped me move house.,เพื่อนช่วยฉันย้ายบ้าน
3132,精致,这个盒子非常精致。,This box is very delicate.,กล่องใบนี้ประณีตมาก
3135,均匀,他把颜色涂得均匀。,He spread the color evenly.,เขาทาสีได้อย่างสม่ำเสมอ
3145,对象,他是我的研究对象。,He is my subject of research.,เขาเป็นเป้าหมายการวิจัยของฉัน
3146,形,月亮渐渐变成圆形。,The moon gradually became round in shape.,พระจันทร์ค่อยๆ กลายเป็นรูปกลม
3160,伤痕,他手臂上有伤痕。,He has a scar on his arm.,เขามีแผลเป็นที่แขน
3161,体检,他明天要体检。,He is having a physical checkup tomorrow.,พรุ่งนี้เขาต้องไปตรวจร่างกาย
3167,意志,他意志非常坚强。,His willpower is very strong.,เขามีความมุ่งมั่นเข้มแข็งมาก
3168,一部,这是一部好电影。,This is a good movie.,นี่เป็นหนังที่ดีเรื่องหนึ่ง
3178,天生,她天生很聪明。,She is naturally very smart.,เธอฉลาดมาแต่กำเนิด
3182,诗歌,这首诗歌很美。,This poem is very beautiful.,บทกวีบทนี้ไพเราะมาก
3197,南极,南极非常寒冷。,The South Pole is extremely cold.,ขั้วโลกใต้หนาวเย็นมาก
3205,演变,语言在不断演变。,Language is constantly evolving.,ภาษาค่อยๆ วิวัฒน์เปลี่ยนแปลงไปเรื่อยๆ
3221,记忆力,老年人的记忆力会下降。,Elderly people's memory ability declines.,ความจำของผู้สูงอายุจะเสื่อมลง
3222,一棵,院子里有一棵大树。,There is a big tree in the yard.,ในสนามมีต้นไม้ใหญ่ต้นหนึ่ง
3226,实际,这个计划不太实际。,This plan is not very realistic.,แผนนี้ไม่ค่อยเป็นไปได้จริงเท่าไร
3245,聚,我们周末聚在一起。,We get together on weekends.,เรามารวมตัวกันในวันหยุดสุดสัปดาห์
3260,重力,地球有很强的重力。,The earth has strong gravity.,โลกมีแรงโน้มถ่วงมาก
3263,餐,他们在餐厅吃早餐。,They eat breakfast at the restaurant.,พวกเขากินข้าวเช้าที่ร้านอาหาร
3265,全价,他买的是全价机票。,He bought a full-price plane ticket.,เขาซื้อตั๋วเครื่องบินราคาเต็ม
3271,木盆,她用木盆洗衣服。,She washes clothes in a wooden basin.,เธอซักผ้าในกะละมังไม้
3276,联名卡,我办了一张联名卡。,I got a co-branded card.,ฉันทำบัตรร่วมแบรนด์ไว้ใบหนึ่ง
3279,且,这个方法简单且有效。,This method is simple and effective.,วิธีนี้ง่ายและได้ผล
3284,农历,春节是农历新年。,Spring Festival is the lunar new year.,ตรุษจีนคือปีใหม่ตามปฏิทินจันทรคติ
3285,分析,老师帮我们分析问题。,The teacher helps us analyze the problem.,คุณครูช่วยเราวิเคราะห์ปัญหา
3287,品,这家店专卖精品服装。,This store specializes in selling high-quality clothing.,ร้านนี้ขายเสื้อผ้าคุณภาพดีโดยเฉพาะ
3302,公元,这是公元一世纪。,This is the first century CE.,นี่คือคริสต์ศตวรรษที่หนึ่ง
3309,寒,天气渐渐转寒了。,The weather is gradually turning cold.,อากาศค่อยๆ หนาวขึ้น
3314,打哈欠,他上课时打哈欠。,He yawned during class.,เขาหาวตอนเรียน
3315,无关,这件事与我无关。,This matter has nothing to do with me.,เรื่องนี้ไม่เกี่ยวกับฉัน
3318,有益,运动对健康有益。,Exercise is beneficial to health.,การออกกำลังกายมีประโยชน์ต่อสุขภาพ
3320,构成,这些问题构成威胁。,These problems constitute a threat.,ปัญหาเหล่านี้ก่อให้เกิดภัยคุกคาม
3329,运用,他善于运用知识。,He is good at applying knowledge.,เขาเก่งในการนำความรู้ไปใช้
3342,最佳,他获得了最佳演员奖。,He won the Best Actor award.,เขาได้รับรางวัลนักแสดงยอดเยี่ยม
3347,生理,这是正常的生理现象。,This is a normal physiological phenomenon.,นี่เป็นปรากฏการณ์ทางสรีระที่ปกติ
3349,疼痛,他的膝盖感到疼痛。,His knee feels painful.,เขารู้สึกปวดที่หัวเข่า
3353,观点,我同意你的观点。,I agree with your point of view.,ฉันเห็นด้วยกับมุมมองของคุณ
3377,丁,成绩分为甲乙丙丁四等。,"Grades are divided into four levels: A, B, C, D.",เกรดแบ่งเป็นสี่ระดับ คือ เอ บี ซี ดี
3384,烛,风吹灭了烛火。,The wind blew out the candle flame.,ลมพัดเปลวเทียนดับ
3389,运河,船在运河上行驶。,The boat sails on the canal.,เรือแล่นอยู่บนคลอง
3391,鳔,鱼鳔可以调节浮力。,The fish swim bladder can adjust buoyancy.,ถุงลมของปลาช่วยปรับการลอยตัวได้
3397,多次,他多次提醒我。,He reminded me many times.,เขาเตือนฉันหลายครั้ง
3404,效率,他工作效率很高。,His work efficiency is very high.,เขาทำงานมีประสิทธิภาพสูงมาก
3406,现实,我们要面对现实。,We must face reality.,เราต้องเผชิญกับความเป็นจริง
3413,不宜,空腹不宜喝咖啡。,It is not advisable to drink coffee on an empty stomach.,ไม่ควรดื่มกาแฟตอนท้องว่าง
3422,加上,三加上二等于五。,Three plus two equals five.,สามบวกสองเท่ากับห้า
3427,大多数,大多数学生都同意。,The great majority of students agree.,นักเรียนส่วนใหญ่เห็นด้วย
3450,某,某人给我打了电话。,A certain person called me.,มีคนคนหนึ่งโทรมาหาฉัน
3463,证实,警方证实了这个消息。,The police confirmed this news.,ตำรวจยืนยันข่าวนี้
3475,亲自,校长亲自参加了会议。,The principal personally attended the meeting.,ผู้อำนวยการมาร่วมประชุมด้วยตัวเอง
3482,后人,这段历史值得后人铭记。,This history is worth remembering for later generations.,ประวัติศาสตร์ตอนนี้ควรค่าแก่การจดจำของคนรุ่นหลัง
3483,吨,这艘船能装一万吨货物。,This ship can carry ten thousand tons of cargo.,เรือลำนี้บรรทุกสินค้าได้หนึ่งหมื่นตัน
3487,强烈,大家强烈反对这个计划。,Everyone strongly opposed this plan.,ทุกคนคัดค้านแผนนี้อย่างรุนแรง
3510,魔术,他会表演魔术。,He can perform magic tricks.,เขาแสดงมายากลได้
3514,乙,他是乙方的代表。,He is the representative of Party B.,เขาเป็นตัวแทนของคู่สัญญาฝ่ายที่สอง
3539,兑换,他去银行兑换外币。,He went to the bank to exchange foreign currency.,เขาไปธนาคารเพื่อแลกเงินตราต่างประเทศ
3552,桥梁,这座桥梁很长。,This bridge is very long.,สะพานนี้ยาวมาก
3553,椒,这道菜放了很多辣椒。,This dish has a lot of pepper in it.,อาหารจานนี้ใส่พริกเยอะมาก
3566,调,他被调去北京工作。,He was transferred to work in Beijing.,เขาถูกย้ายไปทำงานที่ปักกิ่ง
3592,境界,他达到了新的境界。,He reached a new realm.,เขาก้าวไปถึงขั้นใหม่แล้ว
3598,居住,他们居住在乡下。,They reside in the countryside.,พวกเขาอาศัยอยู่ที่ชนบท
3603,得天独厚,这里条件得天独厚。,The conditions here are uniquely favorable.,ที่นี่มีเงื่อนไขได้เปรียบเป็นพิเศษ
3611,改进,我们需要改进方法。,We need to improve the method.,เราต้องปรับปรุงวิธีการ
3613,敏感,她皮肤很敏感。,Her skin is very sensitive.,ผิวของเธอแพ้ง่ายมาก
3622,消耗,运动消耗体力。,Exercise consumes physical energy.,การออกกำลังกายใช้พลังงานร่างกาย
3636,终究,他终究会明白。,He will understand in the end.,สุดท้ายแล้วเขาก็จะเข้าใจ
3659,传递,他传递了这个消息。,He passed on this message.,เขาส่งต่อข่าวนี้
3661,例,请举一个例子。,Please give an example.,ช่วยยกตัวอย่างสักอย่างหนึ่ง
3666,再次,他再次获得冠军。,He won the championship again.,เขาได้แชมป์อีกครั้ง
3670,加以,问题需要加以解决。,The problem needs to be addressed.,ปัญหานี้จำเป็นต้องแก้ไข
3690,平衡,她努力保持身体平衡。,She works hard to keep her body balanced.,เธอพยายามรักษาสมดุลของร่างกาย
3697,情,他们之间充满真情。,There is genuine feeling between them.,ระหว่างพวกเขาเต็มไปด้วยความรู้สึกจริงใจ
3725,诗,他写了一首诗。,He wrote a poem.,เขาแต่งบทกวีบทหนึ่ง
3729,适度,运动要适度，不要过量。,Exercise should be moderate; don't overdo it.,ออกกำลังกายต้องพอดีๆ อย่าหักโหม
3732,针对,这个计划针对年轻人。,This plan targets young people.,แผนนี้มุ่งเป้าไปที่คนรุ่นใหม่
3734,随,请大家随我来。,Please everyone follow me.,ทุกคนตามฉันมาเลย
3735,随即,他听完随即离开了。,He left immediately after listening.,เขาฟังจบก็จากไปทันที
3744,严谨,他做事非常严谨。,He does things very rigorously.,เขาทำงานละเอียดรอบคอบมาก
3745,京城,古代京城非常繁华。,The ancient capital was very prosperous.,เมืองหลวงในสมัยโบราณเจริญรุ่งเรืองมาก
3762,境,他们已经出境了。,They have already crossed the border out of the country.,พวกเขาออกนอกประเทศไปแล้ว
3766,大面积,大面积的森林被烧毁。,A large area of forest was burned down.,ป่าเป็นบริเวณกว้างถูกไฟเผาทำลาย
3774,情商,他情商很高。,He has high emotional intelligence.,เขามีความฉลาดทางอารมณ์สูงมาก
3776,战,双方开战了。,Both sides went to war.,ทั้งสองฝ่ายเปิดศึกกันแล้ว
3780,担,他勇于担责任。,He is brave enough to take on responsibility.,เขากล้าที่จะแบกรับความรับผิดชอบ
3781,拨,请拨打这个电话。,Please dial this phone number.,กรุณากดโทรเบอร์นี้
3809,细胞分裂,细胞分裂速度很快。,Cell division happens very fast.,เซลล์แบ่งตัวได้เร็วมาก
3816,被誉为,他被誉为音乐天才。,He is hailed as a musical genius.,เขาได้ชื่อว่าเป็นอัจฉริยะทางดนตรี
3829,乌鸦,乌鸦站在树枝上。,The crow stood on the branch.,อีกาเกาะอยู่บนกิ่งไม้
3837,咖啡豆,这些咖啡豆香气浓郁。,These coffee beans have a rich aroma.,เมล็ดกาแฟพวกนี้กลิ่นหอมเข้มข้น
3846,层面,这个问题涉及多个层面。,This issue involves multiple aspects.,ปัญหานี้เกี่ยวข้องกับหลายแง่มุม
3849,御,军队奋力抵御敌人。,The army fought hard to resist the enemy.,กองทัพสู้อย่างสุดกำลังเพื่อต้านทานข้าศึก
3853,报酬,这份工作报酬很高。,This job pays a high reward.,งานนี้ค่าตอบแทนสูงมาก
3855,木质,这张桌子是木质的。,This table is made of wood.,โต๊ะตัวนี้ทำจากไม้
3856,树枝,小鸟站在树枝上。,The bird stands on the branch.,นกน้อยเกาะอยู่บนกิ่งไม้
3871,翅膀,小鸟张开翅膀飞走了。,The bird spread its wings and flew away.,นกน้อยกางปีกบินจากไป
3911,一无所有,创业失败后他几乎一无所有。,After his business failed,หลังจากทำธุรกิจล้มเหลว เขาแทบไม่เหลืออะไรเลย
3932,上去,你快上去吧。,Go on up quickly.,เธอรีบขึ้นไปเลย
3953,不准,这里不准抽烟。,Smoking is not allowed here.,ที่นี่ห้ามสูบบุหรี่
3970,不服,他对判决表示不服。,He expressed disagreement with the verdict.,เขาแสดงท่าทีไม่ยอมรับคำตัดสิน
3974,不用说,不用说，大家都知道答案。,Needless to say,ไม่ต้องพูดก็รู้ ทุกคนรู้คำตอบดีอยู่แล้ว
3992,专长,编程是他的专长。,Programming is his specialty.,การเขียนโปรแกรมคือความถนัดพิเศษของเขา
3993,世代,这门手艺世代相传。,This craft has been passed down for generations.,งานฝีมือนี้สืบทอดกันมารุ่นสู่รุ่น
3994,世故,他为人处事十分世故。,He is very worldly in how he handles things.,เขาเป็นคนเจนโลกในการวางตัวและการเข้าสังคมมาก
4001,东南,台风正向东南移动。,The typhoon is moving toward the southeast.,ไต้ฝุ่นกำลังเคลื่อนตัวไปทางทิศตะวันออกเฉียงใต้
4002,东方,太阳从东方升起。,The sun rises in the east.,ดวงอาทิตย์ขึ้นทางทิศตะวันออก
4007,丢失,他不小心丢失了钱包。,He accidentally lost his wallet.,เขาทำกระเป๋าเงินหายโดยไม่ตั้งใจ
4009,丢脸,考试不及格让他丢脸。,Failing the exam made him lose face.,การสอบตกทำให้เขาเสียหน้า
4011,严密,这个计划安排得十分严密。,This plan was arranged very tightly and carefully.,แผนนี้ถูกวางไว้อย่างรัดกุมมาก
4013,个儿,他个儿真高。,He's really tall.,เขาตัวสูงจริงๆ
4018,中华民族,中华民族历史悠久。,The Chinese nation has a long history.,ชนชาติจีนมีประวัติศาสตร์อันยาวนาน
4025,中餐,他更喜欢吃中餐。,He prefers eating Chinese food.,เขาชอบกินอาหารจีนมากกว่า
4039,主导,科技正主导着经济发展。,Technology is now dominating economic development.,เทคโนโลยีกำลังมีบทบาทนำในการพัฒนาเศรษฐกิจ
4044,主观,你的看法太主观了。,Your opinion is too subjective.,ความคิดเห็นของเธอเป็นอัตวิสัยเกินไป
4054,之内,请在三天之内回复。,Please reply within three days.,ช่วยตอบกลับภายในสามวัน
4064,书桌,他坐在书桌前写作业。,He sat at the desk doing homework.,เขานั่งทำการบ้านอยู่ที่โต๊ะเขียนหนังสือ
